candidate_series,printed_name,snapshot_ids,suggested_override,years
[],3.TAF Schleswig Cup West Coast Swing 2019,"[""snap_20260910T032911Z_34e948f7fea1""]","3.TAF Schleswig Cup West Coast Swing 2019,listed-3-taf-schleswig-cup-west-coast-swing,scoringdance,review series identity",[2019]
[],5280 Westival (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","5280 Westival (Cancelled due to Covid-19),listed-5280-westival-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],5280 Westival (Rescheduled to 11/5-9/2020)),"[""snap_20260913T052653Z_4309094e8fb4""]","5280 Westival (Rescheduled to 11/5-9/2020)),listed-5280-westival-rescheduled-to-11-5-9,wsdc_calendar,review series identity",[2020]
[],AISA WEST COAST SWING OPEN,"[""snap_20260913T035045Z_008aaf4c6933"", ""snap_20260913T052940Z_0177184cf9eb"", ""snap_20260913T053000Z_11d8e6dbdaab""]","AISA WEST COAST SWING OPEN,listed-aisa-west-coast-swing-open,wsdc_newsletter,review series identity","[2017, 2018, 2019]"
[],ALL STAR SWING JAM,"[""snap_20260913T053303Z_220a0f22f0f6""]","ALL STAR SWING JAM,listed-all-star-swing-jam,wsdc_newsletter,review series identity",[2020]
[],AUSTRAIN WCS SPECTACLE,"[""snap_20260913T052910Z_44c788523cf4""]","AUSTRAIN WCS SPECTACLE,listed-austrain-wcs-spectacle,wsdc_newsletter,review series identity",[2017]
[],AUSTRALIAN WEST COAST SWING AND ZOUK,"[""snap_20260913T052910Z_44c788523cf4""]","AUSTRALIAN WEST COAST SWING AND ZOUK,listed-australian-west-coast-swing-and-zouk,wsdc_newsletter,review series identity",[2017]
[],All Star Swing Jam,"[""snap_20260913T053423Z_68c1360eb9f6"", ""snap_20260913T053435Z_ed5072b4dea1""]","All Star Swing Jam,listed-all-star-swing-jam,wsdc_newsletter,review series identity","[2023, 2024]"
[],All Star SwingJam (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","All Star SwingJam (Cancelled due to Coronavirus),listed-all-star-swingjam-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],All Star SwingJam (Unconfirmed),"[""snap_20260913T055430Z_17be191620ce""]","All Star SwingJam (Unconfirmed),listed-all-star-swingjam-unconfirmed,wsdc_calendar,review series identity",[2025]
