event_id	name	start_m/d/yy	end_m/d/yy	location	results_published	affiliations	event_page
301019290	Russian Zouk Awards 2025	1/16/26	1/18/26	Ulyanovsk	True		https://danceconvention.net/eventdirector/en/eventpage/301019290-russian-zouk-awards-2025
299999902	The Australian Classic WCS Dance Championships	1/17/25	1/19/25	Gosford  NSW  Australia	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/299999902-the-australian-classic-wcs-dance-championships
300069421	Paris Swing Classic 2025	1/30/25	2/2/25	Paris, France	False	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300069421-paris-swing-classic-2025
300047750	Swing&Snow 2025	1/30/25	2/2/25	St.Petersburg, Russia	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300047750-swingsnow-2025
300069620	Winter Zouk Fest 2025	1/4/25	1/4/25	Казань	False	BZDC	https://danceconvention.net/eventdirector/en/eventpage/300069620-winter-zouk-fest-2025
300353220	Christmas Zouk Championship 2025	1/5/25	1/7/25	Novosibirsk, Russia	False	BZDC,WZR	https://danceconvention.net/eventdirector/en/eventpage/300353220-christmas-zouk-championship-2025
301107620	Deep Zouk Secret Edition Championship 2026	1/6/26	1/7/26	Novosibirsk, Russia	False		https://danceconvention.net/eventdirector/en/eventpage/301107620-deep-zouk-secret-edition-championship-2026
300146691	Go West Swingfest 2025	10/10/25	10/12/25	Subiaco, Western Australia	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300146691-go-west-swingfest-2025
300426000	The NZ WCS Open 2025	10/16/25	10/20/25	Auckland, NZ	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300426000-the-nz-wcs-open-2025
300650011	Spooky Westie Weekend 2025	10/31/25	11/2/25	Singapore, Singapore	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300650011-spooky-westie-weekend-2025
300721130	Waffle Fest	10/4/25	10/5/25	Saint-Petersburg, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/300721130-waffle-fest
300873830	BRAZUKA DANCE FESTIVAL 2025	11/1/25	11/4/25	Moscow, Russia	False	BZDC,WZR	https://danceconvention.net/eventdirector/en/eventpage/300873830-brazuka-dance-festival-2025
301000841	WCS Утренник 2025	11/29/25	11/30/25	Москва, Россия	True		https://danceconvention.net/eventdirector/en/eventpage/301000841-wcs-2025
300368331	Simply Adelaide West Coast Swing	11/6/25	11/9/25	Adelaide, Australia	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300368331-simply-adelaide-west-coast-swing
300632160	Moscow Westie Fest: Gala Edition 2025	11/7/25	11/9/25	Moscow	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300632160-moscow-westie-fest-gala-edition-2025
