slug	title	date
summerhummer2026	Summer Hummer	August 20-23, 2026
swingtacular2026	Swingtacular	August 6-9, 2026
swingfling2026	Swing Fling	August 6-9, 2026
adc2026	Arizona Dance Classic	July 30-Aug 2, 2026
mwf2026	Midwest Westie Fest	July 16-19, 2026
bigapple2026	Big Apple Dance Festival	July 9-12, 2026
www2026	Wild Wild Westie	July 2-5, 2026
phoenix2026	Phoenix 4th Of July	July 2-5, 2026
libertyswing2026	Liberty Swing	June 25-30, 2026
discoamerica2026	Disco America	June 11-14, 2026
jjorama2026	Jack & Jill O'Rama	June 4-7, 2026
orangeblossom2026	Orange Blossom	June 4-7, 2026
michiganclassic2026	Michigan Classic	May 28-31, 2026
grandnationals2026	GNDC	May 21-25, 2026
gateway2026	Gateway Swing Classic	May 14-17, 2026
westieweekend2026	Westie Weekend	May 8-10, 2026
sis2026	Swingin' Into Spring	May 1-3, 2026
swingover2026	Swingover	Apr 23-26, 2026
tulsa2026	Tulsa Spring Swing	Apr 3-5, 2026
htown2026	H-Town Throw Down	Mar 26-29, 2026
btp2026	Boston Tea Party	Mar 26-29, 2026
madjam2026	MADjam	Mar 3-5, 2026
flowfest2026	New York Flow Festival	Feb 27-Mar 1, 2026
swingcrush2026	Swing Crush	Feb 19-22, 2026
capital2026	Capital Swing	Feb 12-15, 2026
parisswingclassic2026	Paris Swing Classic	Jan 22-25, 2026
derby2026	Derby City Swing	Jan 22-25, 2026
freedom2026	Freedom Swing Dance Challenge	Jan 23-25, 2026
asdc2026	Austin Swing Dance Championships	Jan 15-18, 2026
njhustle2026	NJ Hustle Congress	Jan 15-18, 2026
spotlight2025	Spotlight New Year's Celebration	Dec 30-Jan 3, 2026
countdown2025	Countdown Swing Boston	Dec 31-Jan 4, 2026
swingcouver2025	Swingcouver	Dec 31-Jan 4, 2026
worlds2025	UCWDC Country Dance World Championships	Dec 28-Jan 4, 2026
swinglebell2025	Swingle Bell Rock	December 4-7, 2025
theopen2025	The Open	November 26-30, 2025
nsc2025	Northeast Swing Clasic	November 20-23, 2025
dcsx2025	DC Swing eXperience	November 13-16, 2025
mm2025	Midnight Madness	November 13-16, 2025
hst2025	Halloween Swingthing	October 23-26, 2025
sass2025	SASS	October 23-26, 2025
asc2025	Atlanta Swing Classic	October 2-5, 2025
phillyswing2025	Philly Swing Classic	September 19-21, 2025
summerhummer2025	Summer Hummer	August 21-24, 2025
swingtime2025	SwingTime	August 14-17, 2025
swingtacular2025	Swingtacular	August 7-10, 2025
swingfling2025	Swing Fling	August 7-10, 2025
ne2025	NE Dance Festival	July 31-Aug 3, 2025
adc2025	Arizona Dance Classic	July 31-Aug 3, 2025
dmg2025	Dance Mardi Gras	July 24-27, 2025
mwf2025	Midwest Westie Fest	July 17-20, 2025
bigapple2025	Big Apple CDF	July 10-13, 2025
www2025	Wild Wild Westie	July 3-6, 2025
phoenix2025	Phoenix 4th Of July	July 3-6, 2025
libertyswing2025	Liberty Swing	June 26-29, 2025
jjorama2025	Jack & Jill O'Rama	June 5-8, 2025
discoamerica2025	Disco America	June 5-8, 2024
orangeblossom2025	Orange Blossom	June 5-8, 2025
michiganclassic2025	Michigan Classic	May 29-June 1, 2025
grandnationals2025	GNDC	May 22-25, 2025
westieweekend2025	Westie Weekend	May 16-18, 2025
sis2025	Swingin' Into Spring	May 1-4, 2025
swingover2025	Swingover	Apr 24-27, 2025
tulsa2025	Tulsa Spring Swing	Apr 18-20, 2025
ni2025	Novice Invitational	Mar 20-23, 2025
btp2025	Boston Tea Party	Mar 20-23, 2025
swingcrush2025	Swing Crush	Feb 20-23, 2025
capital2025	Capital Swing	Feb 13-16, 2025
derby2025	Derby City Swing	Jan 23-26, 2025
freedom2025	Freedom Swing Dance Challenge	Jan 24-26, 2025
asdc2025	Austin Swing Dance Championships	Jan 16-19, 2025
njhustle2025	NJ Hustle Congress	Jan 16-20, 2025
