event_key,name,series_slug,start_date,end_date,city,region,country,country_code,event_type,flags,status,website,first_seen_snapshot,last_seen_snapshot,snapshots_seen
2025-09-korea-westival,Korea Westival 2025,korea-westival,2025-09-04,2025-09-07,SEOUL,Seoul,South Korea,KOR,Registry Event,,ended,http://koreawestival.com,20250512,20250512,1
2025-09-trilogy-swing,Trilogy Swing,trilogy-swing,2025-09-04,2025-09-07,Raleigh,North Carolina,United States,USA,Registry Event,,ended,https://www.trilogywcs.com/,20250512,20250512,1
2025-09-bavarian-open-west-coast-swing-championships,Bavarian Open West Coast Swing Championships,bavarian-open-west-coast-swing-championships,2025-09-11,2025-09-14,Munich,Bavaria,Germany,DEU,Registry Event,,ended,https://bavarianopen.com,20250512,20250512,1
2025-09-best-of-the-best-wcs,Best of the Best WCS,best-of-the-best-wcs,2025-09-11,2025-09-14,Sydney,NSW,Australia,AUS,Registry Event,,ended,https://www.bestofthebestwcs.com/,20250512,20250512,1
2025-09-retaliation-swing,Retaliation Swing,retaliation-swing,2025-09-18,2025-09-22,Seattle,WA,USA,USA,Registry Event,,ended,https://www.retaliationswing.com,20250512,20250512,1
2025-09-austin-rocks,Austin Rocks,austin-rocks,2025-09-19,2025-09-21,Austin,,Tx,USA,Registry Event,,ended,http://www.atxrox.com,20250512,20250512,1
2025-09-finnfest,Finnfest,finnfest,2025-09-19,2025-09-22,Helsinki,Uusimaa,Finland,FIN,Registry Event,,ended,http://www.finnfest.fi,20250512,20250512,1
2025-09-philly-swing-dance-classic,Philly Swing Dance Classic,philly-swing-dance-classic,2025-09-19,2025-09-21,WILMINGTON,,Delaware,USA,Registry Event,,ended,https://phillyswing.com/,20250512,20250512,1
2025-09-wcs-party,WCS Party,wcs-party,2025-09-19,2025-09-21,Vienna,,Austria,AUT,Registry Event,,ended,https://www.wcsparty.com/,20250512,20250512,1
2025-09-meet-me-in-st-louis-swing-dance-championships,Meet Me in St. Louis Swing Dance Championships,meet-me-in-st-louis-swing-dance-championships,2025-09-25,2025-09-28,St. Louis,,MO,USA,Registry Event,,ended,http://www.mmisl.com,20250512,20250512,1
2025-09-midland-swing-open,Midland Swing Open,midland-swing-open,2025-09-25,2025-09-29,London,,UK,GBR,Registry Event,,ended,http://www.MidlandSwingOpen.com,20250512,20250512,1
2025-09-mooseland-swing,Mooseland Swing 2025,mooseland-swing,2025-09-25,2025-09-29,Östersund,Jämtland,Sweden,SWE,Registry Event,,ended,https://mooselandswing.com/,20250512,20250512,1
2025-10-atlanta-swing-classic,Atlanta Swing Classic,atlanta-swing-classic,2025-10-02,2025-10-05,Atlanta,,GA,USA,Registry Event,,ended,https://atlantaswingclassic.com/,20250512,20250512,1
2025-10-norwegian-open-wcs,Norwegian Open WCS,norwegian-open-wcs,2025-10-02,2025-10-06,Oslo,Innlandet fylke,Norway,NOR,Trial Event,event-trial,ended,https://norwegianopen.no/,20250512,20250512,1
2025-10-the-aloha-open,The Aloha Open,the-aloha-open,2025-10-08,2025-10-12,Wailea,"Maui, Hawaii",USA,USA,Registry Event,,ended,http://www.alohaopenwcs.com,20250512,20251006,2
2025-10-milan-modern-swing,Milan Modern Swing 2025,milan-modern-swing,2025-10-09,2025-10-12,Milan,,Italy,ITA,Registry Event,,ended,https://www.westcoastswingmilan.com/,20250512,20251006,2
2025-10-paradise-dance-festival,Paradise dance festival,paradise-dance-festival,2025-10-09,2025-10-12,Irvine Orange County,Ca,Usa,USA,Registry Event,,ended,http://www.paradisecountrydancefestival.com,20250512,20251006,2
2025-10-go-west-swingfest,Go West SwingFest,go-west-swingfest,2025-10-10,2025-10-12,Perth,,Western Australia,AUS,Registry Event,,ended,https://www.gowestswingfest.au,20250512,20251006,2
2025-10-boogie-by-the-bay,Boogie by the Bay,boogie-by-the-bay,2025-10-16,2025-10-20,Burlingame,,CA,USA,Registry Event,,ended,https://boogiebythebay.com,20250512,20251006,2
2025-10-the-new-zealand-west-coast-swing-open,The New Zealand West Coast Swing Open,the-new-zealand-west-coast-swing-open,2025-10-16,2025-10-19,Auckland,,New Zealand,NZL,Registry Event,,ended,https://www.streetswing.co.nz/the-new-zealand-open,20250512,20251006,2
2025-10-montreal-westie-fest,Montreal Westie Fest,montreal-westie-fest,2025-10-17,2025-10-19,Montréal,Québec,Canada,CAN,Registry Event,,ended,http://montrealwestiefest.com,20250512,20251006,2
2025-10-swustlicious,Swustlicious,swustlicious,2025-10-17,2025-10-19,Philadelphia,,PA,USA,Registry Event,,ended,http://www.swustlicious.com,20250512,20251006,2
