count,kind,subject_kind,summary
100,ambiguous_entry,entry,"Multiple entries share a contest, role, and normalized name"
4,conflict,callback,Eliminated callback conflicts with later-round participation
1,conflict,contest,Conflicting contest name for 2026-02-capital-swing/champion-jj
1,conflict,contest,Conflicting contest name for 2026-06-disco-america/advanced-pro-am-follower-3-dance
1,conflict,contest,Conflicting contest name for 2026-06-disco-america/intermediate-pro-am-follower-3-dance
1,conflict,contest,Conflicting contest name for 2026-06-disco-america/intermediate-pro-am-leader-3-dance
1,conflict,contest,Conflicting contest name for 2026-06-disco-america/novice-pro-am-follower-3-dance
1,conflict,contest,Conflicting contest name for 2026-06-disco-america/novice-pro-am-leader-3-dance
1,conflict,contest,Conflicting contest name for 2026-07-phoenix-of-july/allstar-strictly
1,conflict,entry,Conflicting name_raw for 2025-02-capital-swing/all-american-j-j/L-533
1,conflict,entry,Conflicting name_raw for 2025-02-capital-swing/all-american-j-j/L-663
1,conflict,entry,Conflicting name_raw for 2025-03-boston-tea-party/novice-strictly/C-478
1,conflict,entry,Conflicting name_raw for 2025-06-jack-jill-o-rama/all-american-60s-era-j-j/L-2
1,conflict,entry,Conflicting name_raw for 2025-06-jack-jill-o-rama/all-american-60s-era-j-j/L-315
1,conflict,entry,Conflicting name_raw for 2025-06-liberty-swing/intermediate-strictly/C-145
1,conflict,entry,Conflicting name_raw for 2025-07-wild-wild-westie/advanced-jj/L-89
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-326
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-358
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-808
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-818
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-869
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-884
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-915
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-926
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-951
1,conflict,entry,Conflicting name_raw for 2025-11-midnight-madness/all-madness-j-j/L-974
1,conflict,entry,Conflicting name_raw for 2026-02-capital-swing/masters-jj/L-466
1,conflict,entry,Conflicting name_raw for 2026-03-h-town-throw-down/all-american-j-j/L-118
1,conflict,entry,Conflicting name_raw for 2026-03-h-town-throw-down/all-american-j-j/L-173
1,conflict,entry,Conflicting name_raw for 2026-05-gateway-swing-classic/invitational-jj/F-tbd
1,conflict,entry,Conflicting name_raw for 2026-05-gateway-swing-classic/invitational-jj/L-tbd
1,conflict,entry,Conflicting name_raw for 2026-05-gateway-swing-classic/jj-all-american/C-137
1,conflict,entry,Conflicting name_raw for 2026-05-gateway-swing-classic/jj-all-american/C-194
1,conflict,entry,Conflicting name_raw for 2026-05-gateway-swing-classic/jj-all-american/C-196
1,conflict,entry,Conflicting name_raw for 2026-05-gateway-swing-classic/jj-all-american/C-218
1,conflict,entry,Conflicting name_raw for 2026-05-gateway-swing-classic/jj-all-american/C-356
1,conflict,entry,Conflicting name_raw for 2026-05-michigan-classic/novice-jj/F-57
1,conflict,entry,Conflicting name_raw for 2026-07-phoenix-of-july/allstar-jj/L-55
1,conflict,entry,Conflicting name_raw for 2026-07-phoenix-of-july/intermediate-jj/L-1064
305,conflict,mark,Conflicting callback marks for one entry and judge
303,conflict,registry_placement,Registry contains conflicting placement claims for one key
4,conflict,source_event,Source event edition year contradicts its date
1,missing_identity,round,Redacted WDR entrant without a bib omitted
1,parse_failure,watch,expected scoring.dance links are missing
13,parse_warning,watch,WDR S<n> callback value is preserved without interpretation
13,parse_warning,watch,WDR finals Bib # is preserved without assigning it to a partner
881,registry_diff,dancer,Mirror dancer absent from registry dump
350,registry_diff,dancer,Registry dump differs from mirror
1,unknown_enum,mark,Unknown callback mark '10.6433'
51,unknown_enum,mark,Unknown callback mark '11'
1,unknown_enum,mark,Unknown callback mark '11.2205'
1,unknown_enum,mark,Unknown callback mark '11.4735'
1,unknown_enum,mark,Unknown callback mark '11.6539'
1,unknown_enum,mark,Unknown callback mark '11.7813'
1,unknown_enum,mark,Unknown callback mark '11.9317'
51,unknown_enum,mark,Unknown callback mark '12'
2,unknown_enum,mark,Unknown callback mark '12.5'
1,unknown_enum,mark,Unknown callback mark '12.6092'
1,unknown_enum,mark,Unknown callback mark '12.7'
1,unknown_enum,mark,Unknown callback mark '12.8135'
1,unknown_enum,mark,Unknown callback mark '12.9115'
1,unknown_enum,mark,Unknown callback mark '12.9435'
37,unknown_enum,mark,Unknown callback mark '13'
1,unknown_enum,mark,Unknown callback mark '13.1657'
1,unknown_enum,mark,Unknown callback mark '13.2'
