denominator_valid,detail_rows,detail_to_entry_ratio,entry_count,judge_count,mark_matrix_coverage,mark_matrix_denominator,marks,round_id,round_type,source
True,9,0.5,18,5,1.0,45,45,2018-11-cozyswing/jj-charity-fun/final,final,scoringdance
True,12,0.5,24,8,0.875,96,84,2020-01-budafest/advanced-jj/final,final,scoringdance
True,127,1.0,127,11,0.454545,1397,635,2020-01-budafest/advanced-jj/prelim,prelim,scoringdance
True,86,1.0,86,11,0.454545,946,430,2020-01-budafest/advanced-jj/semifinal,semifinal,scoringdance
True,12,0.5,24,8,0.875,96,84,2020-01-budafest/allstar-jj-champ/final,final,scoringdance
True,89,1.0,89,11,0.454545,979,445,2020-01-budafest/allstar-jj-champ/prelim,prelim,scoringdance
True,42,1.0,42,11,0.454545,462,210,2020-01-budafest/allstar-jj-champ/semifinal,semifinal,scoringdance
True,15,0.5,30,8,0.875,120,105,2020-01-budafest/intermediate-jj/final,final,scoringdance
True,206,1.0,206,11,0.454545,2266,1030,2020-01-budafest/intermediate-jj/prelim,prelim,scoringdance
True,70,1.0,70,11,0.454545,770,350,2020-01-budafest/intermediate-jj/semifinal,semifinal,scoringdance
True,12,0.5,24,8,0.875,96,84,2020-01-budafest/newcomer-jj/final,final,scoringdance
True,41,1.0,41,11,0.454545,451,205,2020-01-budafest/newcomer-jj/prelim,prelim,scoringdance
True,130,1.0,130,11,0.454545,1430,650,2020-01-budafest/novice-jj-quarter/quarterfinal,quarterfinal,scoringdance
True,14,0.5,28,8,0.875,112,98,2020-01-budafest/novice-jj/final,final,scoringdance
True,256,1.0,256,11,0.454545,2816,1280,2020-01-budafest/novice-jj/prelim,prelim,scoringdance
True,92,1.0,92,11,0.454545,1012,460,2020-01-budafest/novice-jj/semifinal,semifinal,scoringdance
True,9,0.5,18,8,0.875,72,63,2020-01-budafest/open-strictly/final,final,scoringdance
True,60,1.0,60,8,0.875,480,420,2020-01-budafest/open-strictly/prelim,prelim,scoringdance
True,22,1.0,22,8,0.875,176,154,2020-01-budafest/open-strictly/semifinal,semifinal,scoringdance
True,15,0.5,30,8,0.875,120,105,2020-01-budafest/sophisticated-jj/final,final,scoringdance
True,89,1.0,89,9,0.444444,801,356,2020-01-budafest/sophisticated-jj/prelim,prelim,scoringdance
True,13,0.5,26,8,0.875,104,91,2020-01-budafest/strictly-nov-int/final,final,scoringdance
True,81,1.0,81,8,0.875,648,567,2020-01-budafest/strictly-nov-int/prelim,prelim,scoringdance
True,40,1.0,40,8,0.875,320,280,2020-01-budafest/strictly-nov-int/semifinal,semifinal,scoringdance
True,5,0.5,10,6,0.833333,30,25,2020-02-carnival-swing-cologne/newcomer-newcomer-j-j/final,final,scoringdance
True,17,1.0,17,7,0.428571,119,51,2020-02-carnival-swing-cologne/newcomer-newcomer-j-j/prelim,prelim,scoringdance
True,8,0.5,16,6,0.833333,48,40,2020-02-carnival-swing-cologne/novice-novice-j-j/final,final,scoringdance
True,31,1.0,31,7,0.428571,217,93,2020-02-carnival-swing-cologne/novice-novice-j-j/prelim,prelim,scoringdance
True,5,0.5,10,6,0.833333,30,25,2020-02-carnival-swing-cologne/open-open-j-j/final,final,scoringdance
True,24,1.0,24,7,0.428571,168,72,2020-02-carnival-swing-cologne/open-open-j-j/prelim,prelim,scoringdance
True,12,0.5,24,8,0.875,96,84,2022-01-budafest/advanced-jj/final,final,scoringdance
True,91,1.0,91,12,0.416667,1092,455,2022-01-budafest/advanced-jj/prelim,prelim,scoringdance
True,54,1.0,54,11,0.454545,594,270,2022-01-budafest/advanced-jj/semifinal,semifinal,scoringdance
True,12,0.5,24,8,0.802083,96,77,2022-01-budafest/allstar-jj-champions/final,final,scoringdance
True,56,1.0,56,7,0.428571,392,168,2022-01-budafest/allstar-jj-champions/prelim,prelim,scoringdance
True,42,1.0,42,7,0.428571,294,126,2022-01-budafest/allstar-jj-champions/semifinal,semifinal,scoringdance
True,15,0.5,30,8,0.875,120,105,2022-01-budafest/intermediate-jj/final,final,scoringdance
True,146,1.0,146,11,0.454545,1606,730,2022-01-budafest/intermediate-jj/prelim,prelim,scoringdance
True,84,1.0,84,11,0.454545,924,420,2022-01-budafest/intermediate-jj/semifinal,semifinal,scoringdance
True,15,0.5,30,8,0.875,120,105,2022-01-budafest/newcomer-jj/final,final,scoringdance
True,73,1.0,73,7,0.428571,511,219,2022-01-budafest/newcomer-jj/prelim,prelim,scoringdance
True,98,1.0,98,11,0.454545,1078,490,2022-01-budafest/novice-jj-quarter/quarterfinal,quarterfinal,scoringdance
True,16,0.5,32,8,0.875,128,112,2022-01-budafest/novice-jj/final,final,scoringdance
True,200,1.0,200,11,0.454545,2200,1000,2022-01-budafest/novice-jj/prelim,prelim,scoringdance
True,68,1.0,68,11,0.454545,748,340,2022-01-budafest/novice-jj/semifinal,semifinal,scoringdance
True,10,0.5,20,8,0.875,80,70,2022-01-budafest/open-strictly/final,final,scoringdance
True,42,1.0,42,8,0.875,336,294,2022-01-budafest/open-strictly/prelim,prelim,scoringdance
True,23,1.0,23,8,0.875,184,161,2022-01-budafest/open-strictly/semifinal,semifinal,scoringdance
True,13,0.5,26,8,0.875,104,91,2022-01-budafest/sophisticated-jj/final,final,scoringdance
True,69,1.0,69,7,0.428571,483,207,2022-01-budafest/sophisticated-jj/prelim,prelim,scoringdance
True,12,0.5,24,8,0.875,96,84,2022-01-budafest/strictly-nov-int/final,final,scoringdance
True,71,1.0,71,8,0.875,568,497,2022-01-budafest/strictly-nov-int/prelim,prelim,scoringdance
True,30,1.0,30,8,0.875,240,210,2022-01-budafest/strictly-nov-int/semifinal,semifinal,scoringdance
True,14,0.5,28,8,0.875,112,98,2022-06-d-town-swing/advanced-jj/final,final,scoringdance
True,48,1.0,48,9,0.444444,432,192,2022-06-d-town-swing/advanced-jj/prelim,prelim,scoringdance
True,7,0.5,14,8,0.875,56,49,2022-06-d-town-swing/allstar-jj/final,final,scoringdance
True,29,1.0,29,9,0.444444,261,116,2022-06-d-town-swing/allstar-jj/prelim,prelim,scoringdance
True,15,0.5,30,8,0.875,120,105,2022-06-d-town-swing/intermediate-jj/final,final,scoringdance
True,80,1.0,80,9,0.444444,720,320,2022-06-d-town-swing/intermediate-jj/prelim,prelim,scoringdance
True,58,1.0,58,9,0.444444,522,232,2022-06-d-town-swing/intermediate-jj/semifinal,semifinal,scoringdance
True,15,0.5,30,6,0.833333,90,75,2022-06-d-town-swing/intermediate-strictly/final,final,scoringdance
True,26,1.0,26,6,0.833333,156,130,2022-06-d-town-swing/intermediate-strictly/prelim,prelim,scoringdance
True,15,0.5,30,6,0.833333,90,75,2022-06-d-town-swing/jj-all-european/final,final,scoringdance
True,125,1.0,125,9,0.444444,1125,500,2022-06-d-town-swing/jj-all-european/prelim,prelim,scoringdance
True,76,1.0,76,9,0.444444,684,304,2022-06-d-town-swing/jj-all-european/semifinal,semifinal,scoringdance
True,10,0.5,20,8,0.875,80,70,2022-06-d-town-swing/masters-jj/final,final,scoringdance
True,28,1.0,28,9,0.444444,252,112,2022-06-d-town-swing/masters-jj/prelim,prelim,scoringdance
True,8,0.5,16,6,0.833333,48,40,2022-06-d-town-swing/masters-strictly/final,final,scoringdance
True,13,0.5,26,8,0.875,104,91,2022-06-d-town-swing/newcomer-jj/final,final,scoringdance
True,56,1.0,56,9,0.444444,504,224,2022-06-d-town-swing/newcomer-jj/prelim,prelim,scoringdance
True,8,0.5,16,6,0.833333,48,40,2022-06-d-town-swing/newcomer-strictly/final,final,scoringdance
True,15,0.5,30,8,0.875,120,105,2022-06-d-town-swing/novice-jj/final,final,scoringdance
True,169,1.0,169,9,0.444444,1521,676,2022-06-d-town-swing/novice-jj/prelim,prelim,scoringdance
True,68,1.0,68,9,0.444444,612,272,2022-06-d-town-swing/novice-jj/semifinal,semifinal,scoringdance
True,12,0.5,24,6,0.833333,72,60,2022-06-d-town-swing/novice-strictly/final,final,scoringdance
True,26,1.0,26,6,0.833333,156,130,2022-06-d-town-swing/novice-strictly/prelim,prelim,scoringdance
True,7,0.5,14,6,0.833333,42,35,2022-06-d-town-swing/open-strictly/final,final,scoringdance
True,26,1.0,26,6,0.833333,156,130,2022-06-d-town-swing/open-strictly/prelim,prelim,scoringdance
True,15,0.5,30,8,0.875,120,105,2022-06-d-town-swing/sophisticated-jj/final,final,scoringdance
