table,column,type,rows,nulls,blank_strings
callback_marks,round_id,VARCHAR,380244,0,0
callback_marks,entry_id,VARCHAR,380244,0,0
callback_marks,judge_id,VARCHAR,380244,0,0
callback_marks,mark,VARCHAR,380244,0,0
callback_marks,mark_raw,VARCHAR,380244,0,0
callback_marks,mark_value,FLOAT,380244,0,0
callback_marks,source,VARCHAR,380244,0,0
callback_marks,snapshot_id,VARCHAR,380244,0,0
callback_marks,parser_version,VARCHAR,380244,0,0
callback_marks,first_seen_at,TIMESTAMP WITH TIME ZONE,380244,0,0
callback_marks,last_seen_at,TIMESTAMP WITH TIME ZONE,380244,0,0
callback_marks,run_id,VARCHAR,380244,0,0
callbacks,round_id,VARCHAR,77624,0,0
callbacks,entry_id,VARCHAR,77624,0,0
callbacks,score_sum,FLOAT,77624,0,0
callbacks,yes_count,TINYINT,77624,0,0
callbacks,alt_count,TINYINT,77624,0,0
callbacks,no_count,TINYINT,77624,0,0
callbacks,outcome,VARCHAR,77624,0,0
callbacks,tie_break_applied,BOOLEAN,77624,77624,0
callbacks,heat_number,SMALLINT,77624,77624,0
callbacks,source,VARCHAR,77624,0,0
callbacks,snapshot_id,VARCHAR,77624,0,0
callbacks,parser_version,VARCHAR,77624,0,0
callbacks,first_seen_at,TIMESTAMP WITH TIME ZONE,77624,0,0
callbacks,last_seen_at,TIMESTAMP WITH TIME ZONE,77624,0,0
callbacks,run_id,VARCHAR,77624,0,0
changelog,changed_at,TIMESTAMP WITH TIME ZONE,5355647,0,0
changelog,run_id,VARCHAR,5355647,0,0
changelog,table,VARCHAR,5355647,0,0
changelog,record_key,VARCHAR,5355647,0,0
changelog,field,VARCHAR,5355647,1208365,0
changelog,old_value,VARCHAR,5355647,0,0
changelog,new_value,VARCHAR,5355647,0,0
changelog,change_type,VARCHAR,5355647,0,0
changelog,reason,VARCHAR,5355647,0,0
contests,contest_id,VARCHAR,2312,0,0
contests,event_id,VARCHAR,2312,0,0
contests,name_raw,VARCHAR,2312,0,1
contests,division,VARCHAR,2312,0,0
contests,age_division,VARCHAR,2312,0,0
contests,contest_type,VARCHAR,2312,0,0
contests,partner_mode,VARCHAR,2312,0,0
contests,dance_style,VARCHAR,2312,0,0
contests,wsdc_points_eligible,BOOLEAN,2312,0,0
contests,combined_from,VARCHAR[],2312,0,0
contests,parse_status,VARCHAR,2312,0,0
contests,source_contest_ref,VARCHAR,2312,0,0
