year,placement_rows,mapped_rows,unmapped_rows,occurrences,mapped_occurrences,contract_scope
1991,14,0,14,2,0,pre_2010
1992,120,0,120,9,0,pre_2010
1993,192,0,192,14,0,pre_2010
1994,390,0,390,24,0,pre_2010
1995,583,0,583,31,0,pre_2010
1996,828,0,828,31,0,pre_2010
1997,1229,0,1229,39,0,pre_2010
1998,1880,0,1880,38,0,pre_2010
1999,1802,0,1802,38,0,pre_2010
2000,1981,0,1981,34,0,pre_2010
2001,2138,0,2138,34,0,pre_2010
2002,2638,0,2638,41,0,pre_2010
2003,2825,0,2825,48,0,pre_2010
2004,2986,0,2986,51,0,pre_2010
2005,3455,0,3455,60,0,pre_2010
2006,3752,0,3752,69,0,pre_2010
2007,3608,0,3608,69,0,pre_2010
2008,3935,0,3935,70,0,pre_2010
2009,4519,0,4519,74,0,pre_2010
2010,4951,0,4951,80,0,in_scope
2011,5742,0,5742,85,0,in_scope
2012,6529,0,6529,91,0,in_scope
2013,8005,0,8005,106,0,in_scope
2014,8809,0,8809,117,0,in_scope
2015,9582,0,9582,122,0,in_scope
2016,10708,0,10708,135,0,in_scope
2017,12048,0,12048,148,0,in_scope
2018,11275,0,11275,146,0,in_scope
2019,12187,178,12009,153,2,in_scope
2020,2505,54,2451,31,1,in_scope
2021,1884,40,1844,26,1,in_scope
2022,7833,906,6927,92,10,in_scope
2023,11830,1645,10185,120,17,in_scope
2024,14597,2801,11796,139,24,in_scope
2025,17483,7397,10086,172,69,in_scope
2026,13147,7814,5333,125,73,in_scope
