wsdc_id,role,series_id,event_month,division,dance_style,reference_result,reference_points,reason
20,leader,wsdc-25,1997-06,masters,wcs,5,2,conflicting_claim_withheld
32,follower,wsdc-35,1996-11,intermediate,wcs,1,10,conflicting_claim_withheld
61,follower,wsdc-34,1998-09,PRO,wcs,5,2,conflicting_claim_withheld
87,follower,wsdc-39,1999-01,PRO,wcs,5,2,conflicting_claim_withheld
88,follower,wsdc-18,2000-04,PRO,wcs,5,2,conflicting_claim_withheld
88,follower,wsdc-65,1999-10,PRO,wcs,4,0,conflicting_claim_withheld
96,follower,wsdc-68,1992-11,PRO,wcs,1,10,conflicting_claim_withheld
102,follower,wsdc-34,2001-09,PRO,wcs,3,4,conflicting_claim_withheld
102,follower,wsdc-8,1996-10,PRO,wcs,2,6,conflicting_claim_withheld
103,leader,wsdc-34,2001-09,PRO,wcs,5,2,conflicting_claim_withheld
118,leader,wsdc-18,1998-04,advanced,wcs,F,0,conflicting_claim_withheld
136,leader,wsdc-35,1995-11,advanced,wcs,2,6,conflicting_claim_withheld
141,follower,wsdc-20,1998-05,advanced,wcs,F,1,conflicting_claim_withheld
170,leader,wsdc-73,2001-05,PRO,wcs,3,4,conflicting_claim_withheld
170,leader,wsdc-8,1996-10,PRO,wcs,2,6,conflicting_claim_withheld
174,follower,wsdc-7,1998-10,masters,wcs,5,0,conflicting_claim_withheld
180,follower,wsdc-41,2000-10,PRO,wcs,5,0,conflicting_claim_withheld
189,follower,wsdc-47,2001-08,advanced,wcs,F,0,conflicting_claim_withheld
191,leader,wsdc-25,1998-06,masters,wcs,F,0,conflicting_claim_withheld
192,leader,wsdc-63,2001-11,intermediate,wcs,2,0,conflicting_claim_withheld
198,follower,wsdc-11,1998-05,PRO,wcs,F,1,conflicting_claim_withheld
198,follower,wsdc-60,1997-04,advanced,wcs,1,0,conflicting_claim_withheld
207,follower,wsdc-35,1995-11,advanced,wcs,3,0,conflicting_claim_withheld
219,leader,wsdc-1,1997-07,newcomer,wcs,F,0,conflicting_claim_withheld
242,follower,wsdc-65,1999-10,PRO,wcs,5,2,conflicting_claim_withheld
243,leader,wsdc-71,1998-07,masters,wcs,F,0,conflicting_claim_withheld
244,follower,wsdc-25,1997-06,masters,wcs,1,10,conflicting_claim_withheld
266,leader,wsdc-53,2002-08,intermediate,wcs,3,4,conflicting_claim_withheld
279,leader,wsdc-5,1998-08,PRO,wcs,5,2,conflicting_claim_withheld
281,follower,wsdc-20,1998-05,PRO,wcs,F,0,conflicting_claim_withheld
290,leader,wsdc-1,2002-07,PRO,wcs,2,6,conflicting_claim_withheld
295,leader,wsdc-27,1995-09,PRO,wcs,5,2,conflicting_claim_withheld
311,leader,wsdc-34,2001-09,PRO,wcs,4,3,conflicting_claim_withheld
311,leader,wsdc-53,2002-08,champion,wcs,5,0,conflicting_claim_withheld
312,leader,wsdc-11,1998-05,novice,wcs,F,1,conflicting_claim_withheld
340,follower,wsdc-34,2001-09,PRO,wcs,5,0,conflicting_claim_withheld
340,follower,wsdc-62,1998-01,PRO,wcs,F,0,conflicting_claim_withheld
341,leader,wsdc-53,2002-08,advanced,wcs,F,1,conflicting_claim_withheld
341,leader,wsdc-63,2001-11,advanced,wcs,F,1,conflicting_claim_withheld
357,leader,wsdc-35,1995-11,advanced,wcs,3,4,conflicting_claim_withheld
359,leader,wsdc-1,1997-07,PRO,wcs,F,1,conflicting_claim_withheld
360,follower,wsdc-53,2002-08,advanced,wcs,F,1,conflicting_claim_withheld
425,leader,wsdc-65,1997-10,PRO,wcs,4,3,conflicting_claim_withheld
432,leader,wsdc-14,1997-02,PRO,wcs,5,2,conflicting_claim_withheld
432,leader,wsdc-41,2000-10,PRO,wcs,4,3,conflicting_claim_withheld
432,leader,wsdc-7,1998-10,PRO,wcs,3,0,conflicting_claim_withheld
439,leader,wsdc-12,1998-02,PRO,wcs,4,0,conflicting_claim_withheld
439,leader,wsdc-8,1996-10,PRO,wcs,3,4,conflicting_claim_withheld
446,leader,wsdc-49,1998-05,PRO,wcs,4,3,conflicting_claim_withheld
468,follower,wsdc-68,1992-11,PRO,wcs,4,3,conflicting_claim_withheld
468,follower,wsdc-71,1999-07,PRO,wcs,4,0,conflicting_claim_withheld
476,follower,wsdc-35,1995-11,advanced,wcs,1,10,conflicting_claim_withheld
489,follower,wsdc-34,2001-09,PRO,wcs,4,3,conflicting_claim_withheld
502,follower,wsdc-35,1995-11,advanced,wcs,2,0,conflicting_claim_withheld
532,leader,wsdc-49,1995-05,PRO,wcs,5,2,conflicting_claim_withheld
540,follower,wsdc-25,1997-06,masters,wcs,5,2,conflicting_claim_withheld
570,leader,wsdc-35,1996-11,intermediate,wcs,2,0,conflicting_claim_withheld
578,leader,wsdc-37,2001-12,PRO,wcs,5,2,conflicting_claim_withheld
