series_id,series_name_raw,event_month,placement_rows,example_wsdc_id
wsdc-49,Spring Fling,1991-05,13,40
wsdc-1,4TH of July Convention,1991-07,1,858
wsdc-28,Las Vegas Swing Expo,1992-01,9,199
wsdc-6,Bay Swingers,1992-02,6,31
wsdc-16,Dancers Fund/Moover & Groover/SwingExpo,1992-03,16,199
wsdc-49,Spring Fling,1992-05,18,134
wsdc-1,4TH of July Convention,1992-07,28,102
wsdc-29,Michigan Swing Dance Champs,1992-08,6,236
wsdc-47,Swingtime in the Rockies,1992-08,20,69
wsdc-15,Dallas D.A.N.C.E.,1992-09,6,13
wsdc-68,US Open Swing Dance Championships,1992-11,11,102
wsdc-28,Las Vegas Swing Expo,1993-01,10,244
wsdc-58,Swing Expo,1993-01,15,93
wsdc-12,Capital Swing Dance Convention,1993-02,39,75
wsdc-6,Bay Swingers,1993-02,1,714
wsdc-60,Swing Jam,1993-04,2,660
wsdc-49,Spring Fling,1993-05,18,84
wsdc-73,World Swing Dance Championships,1993-05,6,5
wsdc-1,4TH of July Convention,1993-07,29,1
wsdc-29,Michigan Swing Dance Champs,1993-08,8,236
wsdc-47,Swingtime in the Rockies,1993-08,18,95
wsdc-15,Dallas D.A.N.C.E.,1993-09,10,332
wsdc-70,Virginia State Open,1993-09,10,195
wsdc-8,Boogie By The Bay,1993-10,20,172
wsdc-68,US Open Swing Dance Championships,1993-11,6,169
wsdc-28,Las Vegas Swing Expo,1994-01,14,239
wsdc-58,Swing Expo,1994-01,16,25
wsdc-62,Monterey SwingFest,1994-01,8,127
wsdc-12,Capital Swing Dance Convention,1994-02,29,103
wsdc-14,Country Boogie,1994-02,38,6
wsdc-6,Bay Swingers,1994-02,9,92
wsdc-18,Seattle's Easter Swing,1994-04,13,177
wsdc-60,Swing Jam,1994-04,3,141
wsdc-20,FreZno Dance Classic,1994-05,18,96
wsdc-49,Spring Fling,1994-05,24,132
wsdc-1,4TH of July Convention,1994-07,34,19
wsdc-52,Summer Dance Festival,1994-07,21,26
wsdc-59,Swing Fling,1994-07,1,1269
wsdc-72,Windy City,1994-07,31,175
wsdc-29,Michigan Swing Dance Champs,1994-08,10,15
wsdc-47,Swingtime in the Rockies,1994-08,18,76
wsdc-15,Dallas D.A.N.C.E.,1994-09,9,13
