date_precision,end_date,event_id,event_month,held,history_source,name,series_id,snapshot_id,source,start_date,wsdc_status,year
month,,2010-01-americas-classic,2010-01,held,"[""registry""]",Americas Classic,wsdc-67,snap_20260911T170120Z_19c4d78f0396,wsdc_registry,,registry,2010
month,,2010-01-floorplay-new-years-swing-vacation,2010-01,held,"[""registry""]",Floorplay New Years Swing Vacation,wsdc-42,snap_20260911T163317Z_d8fab4329407,wsdc_registry,,registry,2010
day,2010-01-18,2010-01-monterey-swingfest,2010-01,held,"[""registry"", ""swingdancecouncil""]",Monterey SwingFest,wsdc-62,snap_20260913T050433Z_b749ee48056f,swingdancecouncil,2010-01-14,registry,2010
month,,2010-01-new-year-s-dance-camp,2010-01,held,"[""registry""]",New Year's Dance Camp,wsdc-37,snap_20260911T163329Z_3fb7e1c66a9b,wsdc_registry,,registry,2010
month,,2010-01-new-year-s-dancin-eve,2010-01,held,"[""registry""]",New Year's Dancin' Eve,wsdc-139,snap_20260911T163259Z_305b849f1e1a,wsdc_registry,,registry,2010
month,,2010-01-spotlight-dance-challenge,2010-01,held,"[""registry""]",Spotlight Dance Challenge,wsdc-141,snap_20260911T163408Z_28fd17e5414d,wsdc_registry,,registry,2010
day,2010-01-10,2010-01-worlds-ucwdc,2010-01,held,"[""registry"", ""swingdancecouncil""]",Worlds UCWDC,wsdc-75,snap_20260913T050433Z_b749ee48056f,swingdancecouncil,2010-01-04,registry,2010
month,,2010-02-capital-swing-dance-convention,2010-02,held,"[""registry""]",Capital Swing Dance Convention,wsdc-12,snap_20260911T163502Z_9ecaaf937d50,wsdc_registry,,registry,2010
month,,2010-02-da-dance-camp,2010-02,held,"[""registry""]",Da Dance Camp,wsdc-115,snap_20260911T163526Z_34c547745b57,wsdc_registry,,registry,2010
day,2010-02-21,2010-02-dance-camp-chicago,2010-02,listed,"[""swingdancecouncil""]",Dance Camp Chicago,wsdc-169,snap_20260913T050453Z_417adb76ce1c,swingdancecouncil,2010-02-19,registry,2010
day,2010-02-14,2010-02-sweetheart-swing-classic,2010-02,listed,"[""swingdancecouncil""]",Sweetheart Swing Classic,wsdc-185,snap_20260913T050443Z_6a757e752fa4,swingdancecouncil,2010-02-11,trial,2010
day,2010-03-28,2010-03-boston-tea-party,2010-03,held,"[""registry"", ""swingdancecouncil""]",Boston Tea Party,wsdc-9,snap_20260913T050503Z_1dc9d7a88150,swingdancecouncil,2010-03-25,registry,2010
day,2010-03-14,2010-03-chicago-classic,2010-03,held,"[""registry"", ""swingdancecouncil""]",Chicago Classic,wsdc-13,snap_20260913T050453Z_417adb76ce1c,swingdancecouncil,2010-03-12,registry,2010
day,2010-03-14,2010-03-high-desert-dance-classic,2010-03,held,"[""registry"", ""swingdancecouncil""]",High Desert Dance Classic,wsdc-143,snap_20260913T050453Z_417adb76ce1c,swingdancecouncil,2010-03-12,registry,2010
day,2010-03-07,2010-03-mid-atlantic-dance-jam,2010-03,held,"[""registry"", ""swingdancecouncil""]",Mid-Atlantic Dance Jam,wsdc-92,snap_20260913T050453Z_417adb76ce1c,swingdancecouncil,2010-03-04,registry,2010
day,2010-03-21,2010-03-novice-invitational,2010-03,held,"[""registry"", ""swingdancecouncil""]",Novice Invitational,wsdc-153,snap_20260913T050453Z_417adb76ce1c,swingdancecouncil,2010-03-19,registry,2010
month,,2010-03-reno-dance-sensation,2010-03,held,"[""registry""]",Reno Dance Sensation,wsdc-91,snap_20260911T170043Z_136504e751da,wsdc_registry,,registry,2010
day,2010-03-21,2010-03-russian-open-wcs-championship,2010-03,listed,"[""swingdancecouncil""]",Russian Open WCS Championship,wsdc-170,snap_20260913T050443Z_6a757e752fa4,swingdancecouncil,2010-03-18,trial,2010
month,,2010-03-tulsa-spring-swing,2010-03,held,"[""registry""]",Tulsa Spring Swing,wsdc-132,snap_20260911T170357Z_bc69583f2bdf,wsdc_registry,,registry,2010
day,2010-04-18,2010-04-calgary-dance-stampede,2010-04,held,"[""registry"", ""swingdancecouncil""]",Calgary Dance Stampede,wsdc-116,snap_20260913T050503Z_1dc9d7a88150,swingdancecouncil,2010-04-16,registry,2010
month,,2010-04-los-angeles-premiere-dance-classic,2010-04,held,"[""registry""]",Los Angeles Premiere Dance Classic,wsdc-104,snap_20260911T165748Z_0633b7671ae3,wsdc_registry,,registry,2010
day,2010-04-18,2010-04-reno-dance-sensation,2010-04,listed,"[""swingdancecouncil""]",Reno Dance Sensation,wsdc-91,snap_20260913T050503Z_1dc9d7a88150,swingdancecouncil,2010-04-15,registry,2010
month,,2010-04-seattle-s-easter-swing,2010-04,held,"[""registry""]",Seattle's Easter Swing,wsdc-18,snap_20260911T165752Z_d30e6520a5ab,wsdc_registry,,registry,2010
day,2010-04-25,2010-04-swing-dance-america,2010-04,held,"[""registry"", ""swingdancecouncil""]",Swing Dance America,wsdc-134,snap_20260913T050503Z_1dc9d7a88150,swingdancecouncil,2010-04-22,registry,2010
day,2010-04-04,2010-04-tulsa-spring-swing,2010-04,listed,"[""swingdancecouncil""]",Tulsa Spring Swing,wsdc-132,snap_20260913T050503Z_1dc9d7a88150,swingdancecouncil,2010-04-01,registry,2010
month,,2010-04-uk-wcs-dance-championships,2010-04,held,"[""registry""]",UK WCS Dance Championships,wsdc-154,snap_20260911T170854Z_36a4f4148fa8,wsdc_registry,,registry,2010
