evidence_json,kind,owner_id,owner_kind,snapshot_id,subject_id,subject_kind,suggested_override,summary
"{""candidates"":[],""printed_name"":""Floorplays New Years Swing Vacation"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050503Z_1dc9d7a88150,2010-01:floorplays-new-years-swing-vacation,history_listing,"Floorplays New Years Swing Vacation,listed-floorplays-new-years-swing-vacation,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""New Years Dancin Eve"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050503Z_1dc9d7a88150,2010-01:new-years-dancin-eve,history_listing,"New Years Dancin Eve,listed-new-years-dancin-eve,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Capital S.D.President's Day Weekend Convention"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050433Z_b749ee48056f,2010-02:capital-s-d-president-s-day-weekend-convention,history_listing,"Capital S.D.President's Day Weekend Convention,listed-capital-s-d-president-s-day-weekend-convention,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Swingin' Down The Mersey"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050443Z_6a757e752fa4,2010-02:swingin-down-the-mersey,history_listing,"Swingin' Down The Mersey,listed-swingin-down-the-mersey,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Los Angeles Premier Dance Classic"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050503Z_1dc9d7a88150,2010-04:los-angeles-premier-dance-classic,history_listing,"Los Angeles Premier Dance Classic,listed-los-angeles-premier-dance-classic,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Music City Swing Dance Championships"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050433Z_b749ee48056f,2010-04:music-city-swing-dance-championships,history_listing,"Music City Swing Dance Championships,listed-music-city-swing-dance-championships,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Seattle Easter Swing"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050503Z_1dc9d7a88150,2010-04:seattle-easter-swing,history_listing,"Seattle Easter Swing,listed-seattle-easter-swing,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""U.K. WCS Dance Championships"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050503Z_1dc9d7a88150,2010-04:u-k-wcs-dance-championships,history_listing,"U.K. WCS Dance Championships,listed-u-k-wcs-dance-championships,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""USA J & J Swing Dance Championships"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050503Z_1dc9d7a88150,2010-04:usa-j-j-swing-dance-championships,history_listing,"USA J & J Swing Dance Championships,listed-usa-j-j-swing-dance-championships,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Easterns Dance Challenge"",""year"":2010}",series_alias,2010,history_year,snap_20260913T050503Z_1dc9d7a88150,2010-05:easterns-dance-challenge,history_listing,"Easterns Dance Challenge,listed-easterns-dance-challenge,swingdancecouncil,review series identity",Historical listing needs a reviewed series alias
