event_count,event_id,event_month,placements,printed_name,series_id
1,2010-01-new-year-s-dancin-eve,2010-01-01,89,New Year's Dancin' Eve,wsdc-139
1,2010-01-spotlight-dance-challenge,2010-01-01,49,Spotlight Dance Challenge,wsdc-141
1,2010-01-new-year-s-dance-camp,2010-01-01,90,New Year's Dance Camp,wsdc-37
1,2010-01-floorplay-new-years-swing-vacation,2010-01-01,50,Floorplay New Years Swing Vacation,wsdc-42
1,2010-01-monterey-swingfest,2010-01-01,110,Monterey SwingFest,wsdc-62
1,2010-01-americas-classic,2010-01-01,72,Americas Classic,wsdc-67
1,2010-01-worlds-ucwdc,2010-01-01,18,Worlds UCWDC,wsdc-75
1,2010-02-da-dance-camp,2010-02-01,29,Da Dance Camp,wsdc-115
1,2010-02-capital-swing-dance-convention,2010-02-01,140,Capital Swing Dance Convention,wsdc-12
1,2010-03-chicago-classic,2010-03-01,118,Chicago Classic,wsdc-13
1,2010-03-tulsa-spring-swing,2010-03-01,68,Tulsa Spring Swing,wsdc-132
1,2010-03-high-desert-dance-classic,2010-03-01,57,High Desert Dance Classic,wsdc-143
1,2010-03-novice-invitational,2010-03-01,40,Novice Invitational,wsdc-153
1,2010-03-boston-tea-party,2010-03-01,76,Boston Tea Party,wsdc-9
1,2010-03-reno-dance-sensation,2010-03-01,88,Reno Dance Sensation,wsdc-91
1,2010-03-mid-atlantic-dance-jam,2010-03-01,106,Mid-Atlantic Dance Jam,wsdc-92
1,2010-04-los-angeles-premiere-dance-classic,2010-04-01,80,Los Angeles Premiere Dance Classic,wsdc-104
1,2010-04-calgary-dance-stampede,2010-04-01,10,Calgary Dance Stampede,wsdc-116
1,2010-04-swing-dance-america,2010-04-01,88,Swing Dance America,wsdc-134
1,2010-04-uk-wcs-dance-championships,2010-04-01,50,UK WCS Dance Championships,wsdc-154
1,2010-04-usa-jack-jill-championships,2010-04-01,28,USA Jack & Jill Championships,wsdc-161
1,2010-04-seattle-s-easter-swing,2010-04-01,94,Seattle's Easter Swing,wsdc-18
1,2010-05-canadian-swing-championships,2010-05-01,18,Canadian Swing Championships,wsdc-105
1,2010-05-the-texas-classic,2010-05-01,8,The Texas Classic,wsdc-121
1,2010-05-swingin-into-spring,2010-05-01,60,Swingin' Into Spring,wsdc-144
1,2010-05-come-rain-come-shine,2010-05-01,40,Come Rain Come Shine,wsdc-145
1,2010-05-swingapalooza,2010-05-01,50,Swingapalooza,wsdc-162
1,2010-05-dfw-pro-am-jam,2010-05-01,30,DFW Pro Am Jam,wsdc-163
1,2010-05-eastern-washington-dance-challenge,2010-05-01,38,Eastern/Washington Dance Challenge,wsdc-19
1,2010-05-frezno-dance-classic,2010-05-01,102,FreZno Dance Classic,wsdc-20
1,2010-05-usa-grand-nationals,2010-05-01,60,USA Grand Nationals,wsdc-22
1,2010-05-swingdiego,2010-05-01,108,SwingDiego,wsdc-61
1,2010-05-world-swing-dance-championships,2010-05-01,66,World Swing Dance Championships,wsdc-73
1,2010-06-colorado-country-classic,2010-06-01,45,Colorado Country Classic,wsdc-109
1,2010-06-orange-blossom-dance-festival,2010-06-01,43,Orange Blossom Dance Festival,wsdc-117
1,2010-06-j-j-o-rama,2010-06-01,70,J&J O'Rama,wsdc-25
1,2010-06-portland-dance-festival,2010-06-01,30,Portland Dance Festival,wsdc-44
1,2010-06-liberty-swing-dance-championships,2010-06-01,105,Liberty Swing Dance Championships,wsdc-96
1,2010-07-of-july-convention,2010-07-01,109,4TH of July Convention,wsdc-1
1,2010-07-toronto-open-swing-hustle-championships,2010-07-01,48,Toronto Open Swing & Hustle Championships,wsdc-147
1,2010-07-new-orleans-dance-mardi-gras,2010-07-01,47,New Orleans Dance Mardi Gras,wsdc-148
1,2010-07-florida-dance-magic,2010-07-01,69,Florida Dance Magic,wsdc-149
1,2010-07-the-city-of-light,2010-07-01,30,The City of Light,wsdc-155
1,2010-07-big-apple-dance-festival,2010-07-01,38,Big Apple Dance Festival,wsdc-156
1,2010-07-swing-fling,2010-07-01,78,Swing Fling,wsdc-59
1,2010-07-michigan-dance-classic,2010-07-01,49,Michigan Dance Classic,wsdc-76
1,2010-07-wisconsin-dance-challenge-midwest-area-swing-dance-challenge,2010-07-01,59,Wisconsin Dance Challenge/Midwest Area Swing Dance Challenge,wsdc-84
1,2010-07-grand-prix-of-swing,2010-07-01,83,Grand Prix of Swing,wsdc-97
1,2010-08-chicagoland-dance-festival,2010-08-01,47,Chicagoland Dance Festival,wsdc-119
1,2010-08-lone-star-invitational,2010-08-01,20,Lone Star Invitational,wsdc-120
1,2010-08-new-england-dance-festival,2010-08-01,28,New England Dance Festival,wsdc-157
1,2010-08-world-swing-masters,2010-08-01,32,World Swing Masters,wsdc-159
1,2010-08-sea-sun-and-swing,2010-08-01,50,Sea Sun and Swing,wsdc-164
1,2010-08-south-bay-cw-dance-festival,2010-08-01,70,South Bay CW Dance Festival,wsdc-48
1,2010-08-summer-hummer,2010-08-01,116,Summer Hummer,wsdc-53
1,2010-08-swingtime-in-the-rockies,2010-08-01,89,Swingtime in the Rockies,wsdc-66
1,2010-08-arizona-dance-classic,2010-08-01,20,Arizona Dance Classic,wsdc-77
1,2010-09-bridgetown-swing-boogie,2010-09-01,68,Bridgetown Swing Boogie,wsdc-10
1,2010-09-new-mexico-dance-fiesta,2010-09-01,16,New Mexico Dance Fiesta,wsdc-100
1,2010-09-river-city-dance-festival,2010-09-01,10,River City Dance Festival,wsdc-130
1,2010-09-meet-me-in-st-louis,2010-09-01,72,Meet Me In St Louis,wsdc-131
1,2010-09-desert-city-swing,2010-09-01,99,Desert City Swing,wsdc-135
1,2010-09-dallas-d-a-n-c-e,2010-09-01,74,Dallas D.A.N.C.E.,wsdc-15
1,2010-09-midland-swing-open,2010-09-01,40,Midland Swing Open,wsdc-165
1,2010-09-palm-springs-summer-dance-classic,2010-09-01,110,Palm Springs Summer Dance Classic,wsdc-51
1,2010-09-sea-to-sky,2010-09-01,59,Sea to Sky,wsdc-79
1,2010-09-swing-niagara-dance-championships,2010-09-01,64,Swing Niagara Dance Championships,wsdc-95
1,2010-10-swing-city-chicago,2010-10-01,53,Swing City Chicago,wsdc-125
1,2010-10-paradise-country-dance-festival,2010-10-01,40,Paradise Country Dance Festival,wsdc-43
1,2010-10-halloween-swingthing,2010-10-01,86,Halloween SwingThing,wsdc-65
1,2010-10-boogie-by-the-bay,2010-10-01,125,Boogie By The Bay,wsdc-8
1,2010-11-tampa-bay-classic,2010-11-01,122,Tampa Bay Classic,wsdc-137
1,2010-11-sunshine-state-dance-challenge,2010-11-01,19,Sunshine State Dance Challenge,wsdc-151
1,2010-11-london-swingvitational,2010-11-01,39,London SWINGvitational,wsdc-166
1,2010-11-mountain-magic,2010-11-01,59,Mountain Magic,wsdc-31
1,2010-11-swingin-new-england-dance-festival,2010-11-01,89,Swingin' New England Dance Festival,wsdc-63
1,2010-11-us-open-swing-dance-championships,2010-11-01,28,US Open Swing Dance Championships,wsdc-68
1,2010-11-virginia-state-open,2010-11-01,60,Virginia State Open,wsdc-70
1,2010-11-c-a-s-h-bash-weekend,2010-11-01,38,C.A.S.H. Bash Weekend,wsdc-87
1,2010-12-chico-dance-sensation,2010-12-01,76,Chico Dance Sensation,wsdc-126
1,2011-01-new-year-s-dancin-eve,2011-01-01,69,New Year's Dancin' Eve,wsdc-139
1,2011-01-new-year-s-dance-camp,2011-01-01,98,New Year's Dance Camp,wsdc-37
1,2011-01-floorplay-new-years-swing-vacation,2011-01-01,49,Floorplay New Years Swing Vacation,wsdc-42
1,2011-01-monterey-swingfest,2011-01-01,117,Monterey SwingFest,wsdc-62
1,2011-01-americas-classic,2011-01-01,82,Americas Classic,wsdc-67
1,2011-02-capital-swing-dance-convention,2011-02-01,152,Capital Swing Dance Convention,wsdc-12
1,2011-02-best-of-the-best,2011-02-01,40,Best of the Best,wsdc-167
1,2011-02-scottish-wcs-dance-championships,2011-02-01,30,Scottish WCS Dance Championships,wsdc-168
1,2011-02-dance-camp-chicago,2011-02-01,48,Dance Camp Chicago,wsdc-169
1,2011-02-toronto-international-swing-dance,2011-02-01,37,Toronto International Swing Dance,wsdc-171
1,2011-03-the-chicago-classic,2011-03-01,122,The Chicago Classic,wsdc-142
1,2011-03-high-desert-dance-classic,2011-03-01,50,High Desert Dance Classic,wsdc-143
