nickname,canonical
mike,michael
liz,elizabeth
beth,elizabeth
bob,robert
rob,robert
bill,william
will,william
jen,jennifer
jenny,jennifer
kate,katherine
abby,abigail
al,albert
alex,alexander
andy,andrew
angie,angela
ann,anne
annie,anne
barb,barbara
becky,rebecca
ben,benjamin
benji,benjamin
benny,benjamin
betsy,elizabeth
betty,elizabeth
brad,bradley
cam,cameron
carrie,caroline
charlie,charles
chris,christopher
christy,christina
chuck,charles
cindy,cynthia
connie,constance
dan,daniel
danny,daniel
dave,david
debbie,deborah
dick,richard
dom,dominic
don,donald
doug,douglas
ed,edward
eddie,edward
ellie,eleanor
em,emily
frank,francis
fred,frederick
gabe,gabriel
geoff,geoffrey
greg,gregory
gwen,gwendolyn
hank,henry
harry,henry
jack,john
jake,jacob
james,james
jamie,james
jan,janet
jay,jason
jeff,jeffrey
jerry,gerald
jess,jessica
jim,james
jimmy,james
jo,joanne
joe,joseph
joey,joseph
johnny,john
jon,jonathan
josh,joshua
kathy,katherine
katie,katherine
ken,kenneth
kim,kimberly
larry,lawrence
laurie,laura
leo,leonard
lexi,alexandra
linda,melinda
lisa,elizabeth
lou,louis
maddie,madeline
maggie,margaret
mandy,amanda
matt,matthew
max,maxwell
meg,megan
mel,melissa
mick,michael
mitch,mitchell
nancy,anne
nate,nathan
nick,nicholas
nikki,nicole
pat,patricia
pam,pamela
peggy,margaret
pete,peter
phil,philip
ray,raymond
rick,richard
ricky,richard
ron,ronald
sam,samuel
sandy,sandra
steph,stephanie
steve,steven
sue,susan
ted,edward
terry,terence
theo,theodore
tim,timothy
tom,thomas
tony,anthony
trish,patricia
vicky,victoria
vince,vincent
wendy,gwendolyn
zach,zachary
