event_id	title	dates_mm_dd_yyyy
303	WCS Magyar Kupa 2026	08/30 - 08/31/2026
418	Bristol Swing Fiesta 2026	08/28 - 08/30/2026
392	Rolling Swing 2026	08/27 - 08/31/2026
384	The Bend Connection 2026	08/21 - 08/24/2026
396	Westie Joy 2026	08/21 - 08/24/2026
393	Manneken Swing 2026	08/21 - 08/24/2026
436	Swing Creation Hamburg	08/20 - 08/23/2026
437	UpTown Swing 2026	08/14 - 08/17/2026
370	Grand Party Sofia 2026	08/13 - 08/17/2026
425	German Open 2026	08/05 - 08/09/2026
360	Lisbon Westie Fest 2026	08/01 - 08/03/2026
399	Warsaw Summer Nights Westival 2026	07/30 - 08/03/2026
394	Sea Sun & Swing Camp 2026	07/25 - 08/01/2026
420	Infinite Swing Munich 2026	07/23 - 07/26/2026
424	Rock The Barn 2026	07/16 - 07/19/2026
403	SwingLab Berlin	07/09 - 07/12/2026
376	Mediterranean Open 2026	07/09 - 07/12/2026
410	My Swing 2026	07/09 - 07/12/2026
387	French Connection 2026	07/03 - 07/06/2026
422	SaunaSwing 2026	07/02 - 07/05/2026
364	Neverland Swing 2026	06/25 - 06/29/2026
419	BaroqueSwing Ludwigsburg 2026	06/25 - 06/28/2026
413	Bachata Beach Festival	06/18/2026
378	D-Town Swing 2026	06/18 - 06/22/2026
365	Milan Swing Vibes 2026	06/18 - 06/21/2026
412	Baltic Swing 2026	06/11 - 06/15/2026
416	Hembsy Chill SILC Competition 2026	06/05 - 06/08/2026
398	Festival City Swing Edinburgh 2026	05/29 - 06/01/2026
405	Nanaimo Dance Fusion 2026	05/28 - 05/31/2026
415	Hungarian Open 2026	05/22 - 05/24/2026
417	Paris Sensual Festival 2026	05/22 - 05/23/2026
332	SOswing Convention 2026	05/14 - 05/18/2026
391	French Open 2026	05/13 - 05/17/2026
395	Med In Swing 2026	05/07 - 05/10/2026
409	Swing of Music 2026	05/07 - 05/11/2026
372	BeeMAD 2026	05/01 - 05/03/2026
383	Spring Time Swing 2026	04/30 - 05/03/2026
407	Nordic WCS Championships 2026	04/30 - 05/03/2026
356	SwingIn Festival 2026	04/23 - 04/26/2026
404	Slovenian Open 2026	04/23 - 04/26/2026
389	Detonation Dance 2026	04/23 - 04/27/2026
333	Asia WCS Open  2026	04/16 - 04/19/2026
338	Westy Nantes 2026	04/10 - 04/12/2026
340	Korean Open 2026	04/09 - 04/12/2026
291	Swing In Capital 2026	04/09 - 04/12/2026
388	Arctic Westie Fest 2026	04/09 - 04/12/2026
400	Lyon Bachata Festival 2026	04/05/2026
327	Easter Swing 2026	04/02 - 04/06/2026
380	5280 Westival 2026	03/26 - 03/30/2026
382	UK West Coast Swing Championships 2026	03/26 - 03/30/2026
373	King Swing 2026	03/19 - 03/23/2026
369	Dutch Open 2026	03/12 - 03/15/2026
337	West in Lyon 2026	03/12 - 03/15/2026
321	All Star SwingJam 2026	03/12 - 03/15/2026
381	Westie Spring Thing 2026	03/12 - 03/16/2026
345	Munich Bachata Fest 2026	02/26 - 03/02/2026
297	Rose City Swing 2026	02/26 - 03/01/2026
361	Arousa Westie Fest 2026	02/19 - 02/22/2026
366	Winter Coast Swing 2026	02/19 - 02/22/2026
335	Euro Dance Festival 2026	02/17 - 02/22/2026
357	Prague Alchemy Swing	02/13 - 02/15/2026
368	Valentine Swing 2026	02/13 - 02/16/2026
362	Trinity Swing 2026	02/06 - 02/08/2026
363	Swingtzerland 2026	02/05 - 02/08/2026
351	Latin Dreams 2026	01/30 - 02/02/2026
346	BachaZouk Bachata Festival 2026	01/29 - 02/02/2026
336	Swing Resolution 2026	01/23 - 01/26/2026
355	Big 3 Festival Hamburg 2026 (Salsa Jack & Jill)	01/23 - 01/25/2026
227	Big 3 Festival Hamburg 2026 (Bachata Jack & Jill)	01/23 - 01/25/2026
334	Avignon City Swing 2026	01/16 - 01/18/2026
272	Monterey Swinfest  2026	01/15 - 01/18/2026
354	Budafest 2026	01/06 - 01/11/2026
220	Pure Bachata - Role Rotation Weekend Cologne 2026	01/02 - 01/04/2026
339	New Year's Swing Fling	12/31/2025-01/04/2026
349	SwingVester 2025/26 WSDC	12/31/2025-01/05/2026
352	Westie Gala 2025/2026	12/28/2025-01/01/2026
323	Global Grand Prix WCS 2025	12/12 - 12/15/2025
347	Berlin Swing Revolution 2025	12/11 - 12/14/2025
328	Santa Swing 2025	12/11 - 12/15/2025
302	Bachata Beyond 2025 | The Enchanted Realm of Rhythm	12/05 - 12/07/2025
266	Copenhagen Bachata Congress 2025	12/05 - 12/07/2025
342	Winter White 2025	12/04 - 12/07/2025
319	Ceroc Champs 2025	11/22/2025
218	Pure Bachata Winter Festival 2025	11/14 - 11/16/2025
330	Flowstate 2025	11/14 - 11/16/2025
