contest_type,count,division,eligible,follower_points_missing,has_registry_F_evidence,has_registry_numeric_evidence,leader_points_missing,points_matches_expected,reference_shape,registry_confirmed,source
classic,105,none,False,True,False,False,True,,couple,False,eepro
classic,2,none,False,True,False,False,True,,follower,False,eepro
jack_and_jill,30,advanced,False,True,False,False,True,,follower,False,eepro
jack_and_jill,15,advanced,False,True,False,False,True,,leader,False,eepro
jack_and_jill,64,advanced,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,16,advanced,False,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,12,advanced,False,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,4,advanced,True,False,False,True,False,,leader+follower,True,eepro
jack_and_jill,156,advanced,True,False,False,True,False,True,leader+follower,True,eepro
jack_and_jill,13,advanced,True,True,False,True,False,True,leader+follower,False,eepro
jack_and_jill,1,advanced,True,False,False,True,True,,leader+follower,False,eepro
jack_and_jill,11,advanced,True,False,False,True,True,True,leader+follower,False,eepro
jack_and_jill,250,advanced,True,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,1,advanced,True,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,168,advanced,True,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,16,allstar,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,5,allstar,False,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,5,allstar,False,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,17,allstar,True,False,False,True,False,,leader+follower,True,eepro
jack_and_jill,141,allstar,True,False,False,True,False,True,leader+follower,True,eepro
jack_and_jill,1,allstar,True,True,False,True,False,,leader+follower,False,eepro
jack_and_jill,12,allstar,True,True,False,True,False,True,leader+follower,False,eepro
jack_and_jill,7,allstar,True,False,False,True,True,True,leader+follower,False,eepro
jack_and_jill,221,allstar,True,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,4,allstar,True,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,106,allstar,True,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,61,champion,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,4,champion,False,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,8,champion,True,False,False,True,False,,leader+follower,True,eepro
jack_and_jill,33,champion,True,False,False,True,False,True,leader+follower,True,eepro
jack_and_jill,3,champion,True,True,False,True,False,,leader+follower,False,eepro
jack_and_jill,12,champion,True,True,False,True,False,True,leader+follower,False,eepro
jack_and_jill,8,champion,True,False,False,True,True,True,leader+follower,False,eepro
jack_and_jill,90,champion,True,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,3,champion,True,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,12,champion,True,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,52,intermediate,False,True,False,False,True,,follower,False,eepro
jack_and_jill,2,intermediate,False,True,True,False,True,,follower,False,eepro
jack_and_jill,34,intermediate,False,True,False,False,True,,leader,False,eepro
jack_and_jill,1,intermediate,False,True,True,False,True,,leader,False,eepro
jack_and_jill,131,intermediate,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,10,intermediate,False,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,16,intermediate,False,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,185,intermediate,True,False,False,True,False,True,leader+follower,True,eepro
jack_and_jill,15,intermediate,True,True,False,True,False,True,leader+follower,False,eepro
jack_and_jill,7,intermediate,True,False,False,True,True,True,leader+follower,False,eepro
jack_and_jill,297,intermediate,True,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,239,intermediate,True,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,97,invitational,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,12,newcomer,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,3,newcomer,True,False,False,True,False,,leader+follower,True,eepro
jack_and_jill,145,newcomer,True,False,False,True,False,True,leader+follower,True,eepro
jack_and_jill,4,newcomer,True,True,False,True,False,True,leader+follower,False,eepro
jack_and_jill,13,newcomer,True,False,False,True,True,True,leader+follower,False,eepro
jack_and_jill,179,newcomer,True,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,80,newcomer,True,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,43,none,False,True,False,False,True,,follower,False,eepro
jack_and_jill,27,none,False,True,False,False,True,,leader,False,eepro
jack_and_jill,1346,none,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,15,novice,False,True,False,False,True,,follower,False,eepro
jack_and_jill,11,novice,False,True,False,False,True,,leader,False,eepro
jack_and_jill,69,novice,False,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,4,novice,False,True,False,True,True,,leader+follower,False,eepro
jack_and_jill,14,novice,False,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,197,novice,True,False,False,True,False,True,leader+follower,True,eepro
jack_and_jill,9,novice,True,True,False,True,False,True,leader+follower,False,eepro
jack_and_jill,4,novice,True,False,False,True,True,True,leader+follower,False,eepro
jack_and_jill,362,novice,True,True,False,False,True,,leader+follower,False,eepro
jack_and_jill,323,novice,True,True,True,False,True,,leader+follower,False,eepro
jack_and_jill,70,open,False,True,False,False,True,,leader+follower,False,eepro
other,64,advanced,False,True,False,False,True,,leader,False,eepro
other,13,champion,False,True,False,False,True,,leader,False,eepro
other,69,intermediate,False,True,False,False,True,,leader,False,eepro
other,17,invitational,False,True,False,False,True,,leader,False,eepro
other,20,none,False,True,False,False,True,,follower,False,eepro
other,371,none,False,True,False,False,True,,leader,False,eepro
other,65,novice,False,True,False,False,True,,leader,False,eepro
other,30,open,False,True,False,False,True,,leader,False,eepro
pro_am,84,advanced,False,True,False,False,True,,follower,False,eepro
pro_am,28,advanced,False,True,False,False,True,,leader,False,eepro
pro_am,162,intermediate,False,True,False,False,True,,follower,False,eepro
pro_am,47,intermediate,False,True,False,False,True,,leader,False,eepro
pro_am,8,newcomer,False,True,False,False,True,,follower,False,eepro
pro_am,10,newcomer,False,True,False,False,True,,leader,False,eepro
pro_am,91,none,False,True,False,False,True,,follower,False,eepro
pro_am,267,none,False,True,False,False,True,,leader,False,eepro
pro_am,114,novice,False,True,False,False,True,,follower,False,eepro
pro_am,40,novice,False,True,False,False,True,,leader,False,eepro
pro_am,1,novice,False,True,False,True,True,,leader,False,eepro
pro_am,26,open,False,True,False,False,True,,follower,False,eepro
pro_am,26,open,False,True,False,False,True,,leader,False,eepro
rising_star,136,none,False,True,False,False,True,,leader,False,eepro
showcase,65,none,False,True,False,False,True,,couple,False,eepro
showcase,3,none,False,True,False,False,True,,follower,False,eepro
showcase,1,none,False,True,False,False,True,,leader,False,eepro
strictly,390,advanced,False,True,False,False,True,,couple,False,eepro
strictly,7,advanced,False,True,False,False,True,,follower,False,eepro
strictly,2,advanced,False,True,False,False,True,,leader,False,eepro
strictly,2,advanced,False,True,False,True,True,,leader,False,eepro
strictly,340,allstar,False,True,False,False,True,,couple,False,eepro
strictly,177,champion,False,True,False,False,True,,couple,False,eepro
strictly,461,intermediate,False,True,False,False,True,,couple,False,eepro
strictly,118,intermediate,False,True,False,False,True,,follower,False,eepro
strictly,1,intermediate,False,True,False,True,True,,follower,False,eepro
strictly,2,intermediate,False,True,True,False,True,,follower,False,eepro
strictly,60,intermediate,False,True,False,False,True,,leader,False,eepro
strictly,25,invitational,False,True,False,False,True,,couple,False,eepro
strictly,54,newcomer,False,True,False,False,True,,couple,False,eepro
strictly,32,newcomer,False,True,False,False,True,,follower,False,eepro
strictly,17,newcomer,False,True,False,False,True,,leader,False,eepro
strictly,664,none,False,True,False,False,True,,couple,False,eepro
strictly,68,none,False,True,False,False,True,,follower,False,eepro
strictly,46,none,False,True,False,False,True,,leader,False,eepro
strictly,346,novice,False,True,False,False,True,,couple,False,eepro
strictly,176,novice,False,True,False,False,True,,follower,False,eepro
strictly,1,novice,False,True,True,False,True,,follower,False,eepro
strictly,118,novice,False,True,False,False,True,,leader,False,eepro
strictly,138,open,False,True,False,False,True,,couple,False,eepro
strictly,1,open,False,True,False,False,True,,follower,False,eepro
classic,26,none,False,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,16,advanced,False,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,3,advanced,True,False,False,True,False,,leader+follower,True,scoringdance
jack_and_jill,108,advanced,True,False,False,True,False,True,leader+follower,True,scoringdance
jack_and_jill,4,advanced,True,True,False,True,False,True,leader+follower,False,scoringdance
jack_and_jill,4,advanced,True,False,False,True,True,True,leader+follower,False,scoringdance
jack_and_jill,172,advanced,True,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,61,advanced,True,True,True,False,True,,leader+follower,False,scoringdance
jack_and_jill,24,allstar,False,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,10,allstar,False,True,False,True,True,,leader+follower,False,scoringdance
jack_and_jill,10,allstar,False,True,True,False,True,,leader+follower,False,scoringdance
jack_and_jill,15,allstar,True,False,False,True,False,,leader+follower,True,scoringdance
jack_and_jill,54,allstar,True,False,False,True,False,True,leader+follower,True,scoringdance
jack_and_jill,2,allstar,True,True,False,True,False,True,leader+follower,False,scoringdance
jack_and_jill,2,allstar,True,False,False,True,True,True,leader+follower,False,scoringdance
jack_and_jill,147,allstar,True,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,3,allstar,True,True,False,True,True,,leader+follower,False,scoringdance
jack_and_jill,25,allstar,True,True,True,False,True,,leader+follower,False,scoringdance
jack_and_jill,6,champion,True,False,False,True,False,,leader+follower,True,scoringdance
jack_and_jill,7,champion,True,False,False,True,False,True,leader+follower,True,scoringdance
jack_and_jill,1,champion,True,False,False,True,True,True,leader+follower,False,scoringdance
jack_and_jill,38,champion,True,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,125,intermediate,True,False,False,True,False,True,leader+follower,True,scoringdance
jack_and_jill,198,intermediate,True,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,149,intermediate,True,True,True,False,True,,leader+follower,False,scoringdance
jack_and_jill,10,invitational,False,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,5,newcomer,False,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,9,newcomer,True,False,False,True,False,,leader+follower,True,scoringdance
jack_and_jill,101,newcomer,True,False,False,True,False,True,leader+follower,True,scoringdance
jack_and_jill,3,newcomer,True,True,False,True,False,True,leader+follower,False,scoringdance
jack_and_jill,1,newcomer,True,False,False,True,True,,leader+follower,False,scoringdance
jack_and_jill,1,newcomer,True,False,False,True,True,True,leader+follower,False,scoringdance
jack_and_jill,211,newcomer,True,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,92,newcomer,True,True,True,False,True,,leader+follower,False,scoringdance
jack_and_jill,32,none,False,True,False,False,True,,leader,False,scoringdance
jack_and_jill,829,none,False,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,123,novice,True,False,False,True,False,True,leader+follower,True,scoringdance
jack_and_jill,1,novice,True,True,False,True,False,True,leader+follower,False,scoringdance
jack_and_jill,1,novice,True,False,False,True,True,True,leader+follower,False,scoringdance
jack_and_jill,254,novice,True,True,False,False,True,,leader+follower,False,scoringdance
jack_and_jill,207,novice,True,True,True,False,True,,leader+follower,False,scoringdance
