contest_id,entry_id,event_id,link_status,name_raw,published_wsdc_id,role,source
2024-06-disco-america/advanced-pro-am-follower-3-dance,2024-06-disco-america/advanced-pro-am-follower-3-dance/F-139,2024-06-disco-america,unmatched,Kathryn Johanessen and Jameson Kilburn,,follower,eepro
2024-06-disco-america/advanced-pro-am-follower-bachata,2024-06-disco-america/advanced-pro-am-follower-bachata/F-291,2024-06-disco-america,unmatched,Maria Hurd and Gustavo Rueda,,follower,eepro
2024-06-disco-america/advanced-pro-am-follower-bachata,2024-06-disco-america/advanced-pro-am-follower-bachata/F-name-kaydee-molnar-and-nick-pfeiffer,2024-06-disco-america,unmatched,Kaydee Molnar and Nick Pfeiffer,,follower,eepro
2024-06-disco-america/advanced-pro-am-follower-salsa,2024-06-disco-america/advanced-pro-am-follower-salsa/F-118,2024-06-disco-america,unmatched,Kaydee Molnar and Nick Pfeiffer,,follower,eepro
2024-06-disco-america/advanced-pro-am-follower-salsa,2024-06-disco-america/advanced-pro-am-follower-salsa/F-291,2024-06-disco-america,unmatched,Maria Hurd and Gustavo Rueda,,follower,eepro
2024-06-disco-america/advanced-pro-am-follower,2024-06-disco-america/advanced-pro-am-follower/F-255,2024-06-disco-america,unmatched,Denise Higgins and Steven James,,follower,eepro
2024-06-disco-america/intermediate-pro-am-follower-3-dance,2024-06-disco-america/intermediate-pro-am-follower-3-dance/F-124,2024-06-disco-america,unmatched,Sara Jones and Gustavo Rueda,,follower,eepro
2024-06-disco-america/intermediate-pro-am-follower-3-dance,2024-06-disco-america/intermediate-pro-am-follower-3-dance/F-234,2024-06-disco-america,unmatched,Katie Valentine and Robert Chukrallah,,follower,eepro
2024-06-disco-america/intermediate-pro-am-follower-3-dance,2024-06-disco-america/intermediate-pro-am-follower-3-dance/F-268,2024-06-disco-america,unmatched,Marla Conley and Lori Ann Roche,,follower,eepro
2024-06-disco-america/intermediate-pro-am-follower-3-dance,2024-06-disco-america/intermediate-pro-am-follower-3-dance/F-291,2024-06-disco-america,unmatched,Maria Hurd and Jameson Kilburn,,follower,eepro
2024-06-disco-america/intermediate-pro-am-follower-3-dance,2024-06-disco-america/intermediate-pro-am-follower-3-dance/F-name-deborah-blumenthal-and-christopher-crevatas,2024-06-disco-america,unmatched,Deborah Blumenthal and Christopher Crevatas,,follower,eepro
2024-06-disco-america/intermediate-pro-am-follower-bachata,2024-06-disco-america/intermediate-pro-am-follower-bachata/F-103,2024-06-disco-america,unmatched,Lynne Moore and Sharonne Vinokurov,,follower,eepro
