cancelled,end_date,event_key,in_published_events,lead_only_warning,name,period,possible_published_matches,research_confidence,research_edition_held,research_flags,research_has_results,research_platform,research_results_url,research_status
False,2025-09-21,2025-09-austin-rocks,False,research lead; not accepted source evidence,Austin Rocks,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300599470/results,ended
False,2025-09-14,2025-09-bavarian-open-west-coast-swing-championships,False,research lead; not accepted source evidence,Bavarian Open West Coast Swing Championships,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/304/results/,ended
False,2025-09-14,2025-09-best-of-the-best-wcs,False,research lead; not accepted source evidence,Best of the Best WCS,past,,high,,,true,event_website,https://www.bestofthebestwcs.com/competition-results.html,ended
False,2025-09-22,2025-09-finnfest,True,research lead; not accepted source evidence,Finnfest,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/309/results/,ended
False,2025-09-07,2025-09-korea-westival,False,research lead; not accepted source evidence,Korea Westival 2025,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300460020/results,ended
False,2025-09-28,2025-09-meet-me-in-st-louis-swing-dance-championships,False,research lead; not accepted source evidence,Meet Me in St. Louis Swing Dance Championships,past,,medium,,,true,worlddanceregistry,https://www.worlddanceregistry.com/event.aspx?euid=db236133-ebe5-43a3-b54b-9ef31cd59ece,ended
False,2025-09-29,2025-09-midland-swing-open,True,research lead; not accepted source evidence,Midland Swing Open,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/295/results/,ended
False,2025-09-29,2025-09-mooseland-swing,True,research lead; not accepted source evidence,Mooseland Swing 2025,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/296/results/,ended
False,2025-09-21,2025-09-philly-swing-dance-classic,False,research lead; not accepted source evidence,Philly Swing Dance Classic,past,2025-09-philly-swing-classic,high,,,true,eepro,https://eepro.com/results/event.php?event=phillyswing2025,ended
False,2025-09-22,2025-09-retaliation-swing,True,research lead; not accepted source evidence,Retaliation Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/285/results/,ended
False,2025-09-07,2025-09-trilogy-swing,True,research lead; not accepted source evidence,Trilogy Swing,past,,high,,,true,worlddanceregistry,https://scores.worlddanceregistry.com/3ac5b6cd-17f3-11f0-9a29-0aa72bbce9ea,ended
False,2025-09-21,2025-09-wcs-party,False,research lead; not accepted source evidence,WCS Party,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/306/results/,ended
False,2025-10-05,2025-10-atlanta-swing-classic,True,research lead; not accepted source evidence,Atlanta Swing Classic,past,2025-10-atlanta-swing-classic,high,,,true,eepro,https://eepro.com/results/event.php?event=asc2025,ended
False,2025-10-25,2025-10-augsburg-westie-station,True,research lead; not accepted source evidence,Augsburg Westie Station,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/310/results/,ended
False,2025-10-20,2025-10-boogie-by-the-bay,True,research lead; not accepted source evidence,Boogie by the Bay,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/274/results/,ended
False,2025-10-12,2025-10-go-west-swingfest,False,research lead; not accepted source evidence,Go West SwingFest,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300146691/results,ended
False,2025-10-26,2025-10-halloween-swingthing,True,research lead; not accepted source evidence,Halloween SwingThing,past,2025-10-halloween-swingthing,high,,,true,eepro,https://eepro.com/results/event.php?event=hst2025,ended
False,2025-10-12,2025-10-milan-modern-swing,True,research lead; not accepted source evidence,Milan Modern Swing 2025,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/318/results/,ended
