fetched_round_urls,listed_round_urls,mapped_event_id,never_checked_round_urls,period,published_contests,published_rounds,source,source_end_date,source_name,source_ref,source_start_date,unfetched_examples,unfetched_round_urls
10,10,2026-03-boston-tea-party,,past,22,37,eepro,2026-03-29,Boston Tea Party,eepro:btp2026,2026-03-26,,
7,7,2025-01-austin-swing-dance-championships,,past,17,27,eepro,2025-01-19,Austin Swing Dance Championships,eepro:asdc2025,2025-01-16,,
3,3,2026-08-arizona-dance-classic,,past,4,5,eepro,2026-08-02,Arizona Dance Classic,eepro:adc2026,2026-07-30,,
7,7,2026-01-austin-swing-dance-championships,,past,17,28,eepro,2026-01-18,Austin Swing Dance Championships,eepro:asdc2026,2026-01-15,,
6,6,2026-06-orange-blossom,,past,32,21,eepro,2026-06-07,Orange Blossom,eepro:orangeblossom2026,2026-06-04,,
10,10,2025-05-gndc,,past,35,46,eepro,2025-05-25,GNDC,eepro:grandnationals2025,2025-05-22,,
5,5,2025-07-dance-mardi-gras,,past,16,21,eepro,2025-07-27,Dance Mardi Gras,eepro:dmg2025,2025-07-24,,
5,5,2025-07-wild-wild-westie,,past,16,36,eepro,2025-07-06,Wild Wild Westie,eepro:www2025,2025-07-03,,
2,2,2026-05-swingin-into-spring,,past,5,11,eepro,2026-05-03,Swingin' Into Spring,eepro:sis2026,2026-05-01,,
5,5,2025-03-novice-invitational,,past,22,26,eepro,2025-03-23,Novice Invitational,eepro:ni2025,2025-03-20,,
5,5,2026-07-wild-wild-westie,,past,16,35,eepro,2026-07-05,Wild Wild Westie,eepro:www2026,2026-07-02,,
9,9,2026-01-nj-hustle-congress,,past,34,34,eepro,2026-01-18,NJ Hustle Congress,eepro:njhustle2026,2026-01-15,,
6,6,2026-01-ucwdc-country-dance-world-championships,,past,13,26,eepro,2026-01-04,UCWDC Country Dance World Championships,eepro:worlds2025,2025-12-28,,
6,6,2025-07-midwest-westie-fest,,past,24,29,eepro,2025-07-20,Midwest Westie Fest,eepro:mwf2025,2025-07-17,,
6,6,2026-05-michigan-classic,,past,18,25,eepro,2026-05-31,Michigan Classic,eepro:michiganclassic2026,2026-05-28,,
6,6,2026-01-paris-swing-classic,,past,26,38,eepro,2026-01-25,Paris Swing Classic,eepro:parisswingclassic2026,2026-01-22,,
7,7,2025-10-atlanta-swing-classic,,past,23,42,eepro,2025-10-05,Atlanta Swing Classic,eepro:asc2025,2025-10-02,,
5,5,2026-03-h-town-throw-down,,past,22,27,eepro,2026-03-29,H-Town Throw Down,eepro:htown2026,2026-03-26,,
8,8,2025-08-swing-fling,,past,29,39,eepro,2025-08-10,Swing Fling,eepro:swingfling2025,2025-08-07,,
4,4,2026-08-swingtacular,,past,8,19,eepro,2026-08-09,Swingtacular,eepro:swingtacular2026,2026-08-06,,
2,2,2026-07-big-apple-dance-festival,,past,5,9,eepro,2026-07-12,Big Apple Dance Festival,eepro:bigapple2026,2026-07-09,,
6,6,2026-08-swing-fling,,past,28,38,eepro,2026-08-09,Swing Fling,eepro:swingfling2026,2026-08-06,,
6,6,2026-07-midwest-westie-fest,,past,24,28,eepro,2026-07-19,Midwest Westie Fest,eepro:mwf2026,2026-07-16,,
,,2026-08-summer-hummer,,past,21,35,eepro,2026-08-23,Summer Hummer,eepro:summerhummer2026,2026-08-20,,
2,2,2025-05-swingin-into-spring,,past,5,9,eepro,2025-05-04,Swingin' Into Spring,eepro:sis2025,2025-05-01,,
9,9,2025-01-nj-hustle-congress,,past,45,45,eepro,2025-01-20,NJ Hustle Congress,eepro:njhustle2025,2025-01-16,,
8,8,2026-06-liberty-swing,,past,29,40,eepro,2026-06-30,Liberty Swing,eepro:libertyswing2026,2026-06-25,,
7,7,2025-04-tulsa-spring-swing,,past,23,29,eepro,2025-04-20,Tulsa Spring Swing,eepro:tulsa2025,2025-04-18,,
7,7,2025-11-northeast-swing-clasic,,past,24,34,eepro,2025-11-23,Northeast Swing Clasic,eepro:nsc2025,2025-11-20,,
6,6,2025-11-dc-swing-experience,,past,29,40,eepro,2025-11-16,DC Swing eXperience,eepro:dcsx2025,2025-11-13,,
5,5,2025-09-philly-swing-classic,,past,13,20,eepro,2025-09-21,Philly Swing Classic,eepro:phillyswing2025,2025-09-19,,
7,7,2025-08-arizona-dance-classic,,past,25,30,eepro,2025-08-03,Arizona Dance Classic,eepro:adc2025,2025-07-31,,
5,5,2025-01-derby-city-swing,,past,25,37,eepro,2025-01-26,Derby City Swing,eepro:derby2025,2025-01-23,,
7,7,2026-01-spotlight-new-year-s-celebration,,past,31,45,eepro,2026-01-03,Spotlight New Year's Celebration,eepro:spotlight2025,2025-12-30,,
6,6,2025-06-orange-blossom,,past,26,18,eepro,2025-06-08,Orange Blossom,eepro:orangeblossom2025,2025-06-05,,
3,3,2025-08-ne-dance-festival,,past,10,16,eepro,2025-08-03,NE Dance Festival,eepro:ne2025,2025-07-31,,
7,7,2025-07-phoenix-of-july,,past,17,35,eepro,2025-07-06,Phoenix 4th Of July,eepro:phoenix2025,2025-07-03,,
6,6,2026-06-jack-jill-o-rama,,past,20,45,eepro,2026-06-07,Jack & Jill O'Rama,eepro:jjorama2026,2026-06-04,,
5,5,2025-12-swingle-bell-rock,,past,13,17,eepro,2025-12-07,Swingle Bell Rock,eepro:swinglebell2025,2025-12-04,,
13,13,2025-11-the-open,,past,28,48,eepro,2025-11-30,The Open,eepro:theopen2025,2025-11-26,,
6,6,2026-01-freedom-swing-dance-challenge,,past,14,24,eepro,2026-01-25,Freedom Swing Dance Challenge,eepro:freedom2026,2026-01-23,,
6,6,2026-06-disco-america,,past,83,83,eepro,2026-06-14,Disco America,eepro:discoamerica2026,2026-06-11,,
3,3,2026-05-westie-weekend,,past,5,12,eepro,2026-05-10,Westie Weekend,eepro:westieweekend2026,2026-05-08,,
5,5,2026-02-swing-crush,,past,19,32,eepro,2026-02-22,Swing Crush,eepro:swingcrush2026,2026-02-19,,
5,5,2026-03-new-york-flow-festival,,past,10,16,eepro,2026-03-01,New York Flow Festival,eepro:flowfest2026,2026-02-27,,
8,8,2026-05-gateway-swing-classic,,past,27,28,eepro,2026-05-17,Gateway Swing Classic,eepro:gateway2026,2026-05-14,,
6,6,2025-04-swingover,,past,27,33,eepro,2025-04-27,Swingover,eepro:swingover2025,2025-04-24,,
6,6,2026-02-capital-swing,,past,20,37,eepro,2026-02-15,Capital Swing,eepro:capital2026,2026-02-12,,
6,6,2025-10-sass,,past,20,26,eepro,2025-10-26,SASS,eepro:sass2025,2025-10-23,,
2,2,2025-07-big-apple-cdf,,past,4,7,eepro,2025-07-13,Big Apple CDF,eepro:bigapple2025,2025-07-10,,
7,7,2025-06-michigan-classic,,past,19,25,eepro,2025-06-01,Michigan Classic,eepro:michiganclassic2025,2025-05-29,,
14,14,2025-11-midnight-madness,,past,28,44,eepro,2025-11-16,Midnight Madness,eepro:mm2025,2025-11-13,,
5,5,2025-08-summer-hummer,,past,22,36,eepro,2025-08-24,Summer Hummer,eepro:summerhummer2025,2025-08-21,,
6,6,2026-01-countdown-swing-boston,,past,31,36,eepro,2026-01-04,Countdown Swing Boston,eepro:countdown2025,2025-12-31,,
7,7,2025-01-freedom-swing-dance-challenge,,past,13,26,eepro,2025-01-26,Freedom Swing Dance Challenge,eepro:freedom2025,2025-01-24,,
4,4,2025-08-swingtacular,,past,8,19,eepro,2025-08-10,Swingtacular,eepro:swingtacular2025,2025-08-07,,
6,6,2026-04-swingover,,past,30,35,eepro,2026-04-26,Swingover,eepro:swingover2026,2026-04-23,,
3,3,2025-05-westie-weekend,,past,5,11,eepro,2025-05-18,Westie Weekend,eepro:westieweekend2025,2025-05-16,,
8,8,2026-03-madjam,,past,23,49,eepro,2026-03-05,MADjam,eepro:madjam2026,2026-03-03,,
12,12,2025-06-liberty-swing,,past,30,42,eepro,2025-06-29,Liberty Swing,eepro:libertyswing2025,2025-06-26,,
6,6,2024-06-disco-america,,past,68,68,eepro,2024-06-08,Disco America,eepro:discoamerica2025,2024-06-05,,
5,5,2025-02-swing-crush,,past,17,26,eepro,2025-02-23,Swing Crush,eepro:swingcrush2025,2025-02-20,,
4,4,2025-02-capital-swing,,past,15,28,eepro,2025-02-16,Capital Swing,eepro:capital2025,2025-02-13,,
5,5,2025-08-swingtime,,past,16,33,eepro,2025-08-17,SwingTime,eepro:swingtime2025,2025-08-14,,
10,10,2026-05-gndc,,past,34,49,eepro,2026-05-25,GNDC,eepro:grandnationals2026,2026-05-21,,
5,5,2026-01-derby-city-swing,,past,24,33,eepro,2026-01-25,Derby City Swing,eepro:derby2026,2026-01-22,,
10,10,2025-03-boston-tea-party,,past,26,43,eepro,2025-03-23,Boston Tea Party,eepro:btp2025,2025-03-20,,
5,5,2025-10-halloween-swingthing,,past,15,31,eepro,2025-10-26,Halloween Swingthing,eepro:hst2025,2025-10-23,,
5,5,2026-01-swingcouver,,past,20,31,eepro,2026-01-04,Swingcouver,eepro:swingcouver2025,2025-12-31,,
6,6,2025-06-jack-jill-o-rama,,past,20,45,eepro,2025-06-08,Jack & Jill O'Rama,eepro:jjorama2025,2025-06-05,,
10,10,2026-07-phoenix-of-july,,past,18,38,eepro,2026-07-05,Phoenix 4th Of July,eepro:phoenix2026,2026-07-02,,
7,7,2026-04-tulsa-spring-swing,,past,25,32,eepro,2026-04-05,Tulsa Spring Swing,eepro:tulsa2026,2026-04-03,,
,,2026-08-bristol-swing-fiesta,,past,6,12,scoringdance,2026-08-28,Bristol Swing Fiesta 2026,scoringdance:418,2026-08-28,,
,6,2023-10-augsburg-westie-station,6,past,0,0,scoringdance,2023-10-20,Augsburg Westie Station 2023,scoringdance:101,2023-10-20,https://scoring.dance/enUS/events/101/results/1263.html|https://scoring.dance/enUS/events/101/results/1264.html|https://scoring.dance/enUS/events/101/results/1265.html,6
,25,2026-04-spring-time-swing,25,past,0,0,scoringdance,2026-04-30,Spring Time Swing 2026,scoringdance:383,2026-04-30,https://scoring.dance/enUS/events/383/results/5764.html|https://scoring.dance/enUS/events/383/results/5766.html|https://scoring.dance/enUS/events/383/results/5767.html,25
,1,2026-06-bachata-beach-festival,1,past,0,0,scoringdance,2026-06-18,Bachata Beach Festival,scoringdance:413,2026-06-18,https://scoring.dance/enUS/events/413/results/6170.html,1
,11,2025-02-trinity-swing,11,past,0,0,scoringdance,2025-02-07,Trinity Swing 2025,scoringdance:205,2025-02-07,https://scoring.dance/enUS/events/205/results/3054.html|https://scoring.dance/enUS/events/205/results/3055.html|https://scoring.dance/enUS/events/205/results/3056.html,11
24,24,2024-10-scandinavian-open-wcs-snow,,past,10,24,scoringdance,2024-10-31,Scandinavian Open WCS 2024 [SNOW 2024],scoringdance:173,2024-10-31,,
6,6,2025-01-terra-livre-dance-festival-winter-edition,,past,2,6,scoringdance,2025-01-17,Terra Livre Dance Festival 2025 (Winter Edition),scoringdance:203,2025-01-17,,
,13,2025-08-lisbon-westie-fest,13,past,0,0,scoringdance,2025-08-01,Lisbon Westie Fest 2025,scoringdance:267,2025-08-01,https://scoring.dance/enUS/events/267/results/4118.html|https://scoring.dance/enUS/events/267/results/4119.html|https://scoring.dance/enUS/events/267/results/4120.html,13
,16,2024-10-swingside-invitational,16,past,0,0,scoringdance,2024-10-25,Swingside Invitational 2024,scoringdance:165,2024-10-25,https://scoring.dance/enUS/events/165/results/2595.html|https://scoring.dance/enUS/events/165/results/2596.html|https://scoring.dance/enUS/events/165/results/2600.html,16
,10,2025-05-bachata-sphere-weekend-paris,10,past,0,0,scoringdance,2025-05-08,Bachata Sphere Weekend Paris 2025,scoringdance:214,2025-05-08,https://scoring.dance/enUS/events/214/results/3754.html|https://scoring.dance/enUS/events/214/results/3755.html|https://scoring.dance/enUS/events/214/results/3756.html,10
,6,2022-04-swingin-festival,6,past,0,0,scoringdance,2022-04-22,SwingIn - Festival 2022,scoringdance:63,2022-04-22,https://scoring.dance/enUS/events/63/results/476.html|https://scoring.dance/enUS/events/63/results/504.html|https://scoring.dance/enUS/events/63/results/502.html,6
14,14,2025-02-valentine-swing,,past,7,14,scoringdance,2025-02-14,Valentine Swing 2025,scoringdance:223,2025-02-14,,
6,6,2024-11-flowstate,,past,4,6,scoringdance,2024-11-08,Flowstate,scoringdance:180,2024-11-08,,
,7,2023-04-swingin-festival,7,past,0,0,scoringdance,2023-04-21,SwingIn - Festival 2023,scoringdance:81,2023-04-21,https://scoring.dance/enUS/events/81/results/935.html|https://scoring.dance/enUS/events/81/results/966.html|https://scoring.dance/enUS/events/81/results/936.html,7
,,,,unknown,0,0,scoringdance,,All-Star Swing Jam 2024,scoringdance:123,,,
,4,2022-03-normandie-on-west,4,past,0,0,scoringdance,2022-03-26,Normandie On West,scoringdance:59,2022-03-26,https://scoring.dance/enUS/events/59/results/468.html|https://scoring.dance/enUS/events/59/results/469.html|https://scoring.dance/enUS/events/59/results/470.html,4
,3,2025-04-bachata-festival-germany,3,past,0,0,scoringdance,2025-04-09,Bachata Festival Germany 2025,scoringdance:184,2025-04-09,https://scoring.dance/enUS/events/184/results/3543.html|https://scoring.dance/enUS/events/184/results/3544.html|https://scoring.dance/enUS/events/184/results/3545.html,3
16,16,2025-08-grand-party-sofia,,past,9,16,scoringdance,2025-08-15,Grand Party Sofia 2025,scoringdance:276,2025-08-15,,
,16,2026-04-swingin-festival,16,past,0,0,scoringdance,2026-04-23,SwingIn Festival 2026,scoringdance:356,2026-04-23,https://scoring.dance/enUS/events/356/results/5713.html|https://scoring.dance/enUS/events/356/results/5714.html|https://scoring.dance/enUS/events/356/results/5715.html,16
,,,,unknown,0,0,scoringdance,,Seattle Ticket Kickoff,scoringdance:38,,,
,12,2025-09-mooseland-swing,12,past,0,0,scoringdance,2025-09-26,Mooseland Swing 2025,scoringdance:296,2025-09-26,https://scoring.dance/enUS/events/296/results/4524.html|https://scoring.dance/enUS/events/296/results/4525.html|https://scoring.dance/enUS/events/296/results/4521.html,12
,26,2022-09-bavarian-open,26,past,0,0,scoringdance,2022-09-08,Bavarian Open 2022,scoringdance:46,2022-09-08,https://scoring.dance/enUS/events/46/results/622.html|https://scoring.dance/enUS/events/46/results/623.html|https://scoring.dance/enUS/events/46/results/624.html,26
,,,,unknown,0,0,scoringdance,,Workshop Weekend Heidelberg Januar 2020,scoringdance:35,,,
,,,,unknown,0,0,scoringdance,,INTAKO 2019,scoringdance:13,,,
,14,2025-06-barock-swing-ludwigsburg,14,past,0,0,scoringdance,2025-06-19,Barock Swing Ludwigsburg 2025,scoringdance:247,2025-06-19,https://scoring.dance/enUS/events/247/results/3985.html|https://scoring.dance/enUS/events/247/results/3986.html|https://scoring.dance/enUS/events/247/results/3987.html,14
,24,2025-10-scandinavian-open-snow,24,past,0,0,scoringdance,2025-10-29,Scandinavian Open 2025 [SNOW],scoringdance:312,2025-10-29,https://scoring.dance/enUS/events/312/results/4445.html|https://scoring.dance/enUS/events/312/results/4446.html|https://scoring.dance/enUS/events/312/results/4640.html,24
,10,2025-10-aloha-open,10,past,0,0,scoringdance,2025-10-10,Aloha Open 2025,scoringdance:238,2025-10-10,https://scoring.dance/enUS/events/238/results/4401.html|https://scoring.dance/enUS/events/238/results/4402.html|https://scoring.dance/enUS/events/238/results/4404.html,10
,31,2025-08-german-open,31,past,0,0,scoringdance,2025-08-07,German Open 2025,scoringdance:280,2025-08-07,https://scoring.dance/enUS/events/280/results/4195.html|https://scoring.dance/enUS/events/280/results/4196.html|https://scoring.dance/enUS/events/280/results/4197.html,31
,,2019-05-3-taf-schleswig-cup-west-coast-swing,,past,0,0,scoringdance,2019-05-11,3.TAF Schleswig Cup West Coast Swing 2019,scoringdance:15,2019-05-11,,
,27,2024-09-bavarian-open,27,past,0,0,scoringdance,2024-09-12,Bavarian Open 2024,scoringdance:149,2024-09-12,https://scoring.dance/enUS/events/149/results/2308.html|https://scoring.dance/enUS/events/149/results/2309.html|https://scoring.dance/enUS/events/149/results/2310.html,27
22,22,2026-04-swing-in-capital,,past,10,22,scoringdance,2026-04-09,Swing In Capital 2026,scoringdance:291,2026-04-09,,
,53,2025-11-ceroc-champs,53,past,0,0,scoringdance,2025-11-22,Ceroc Champs 2025,scoringdance:319,2025-11-22,https://scoring.dance/enUS/events/319/results/4724.html|https://scoring.dance/enUS/events/319/results/4676.html|https://scoring.dance/enUS/events/319/results/4754.html,53
,14,2024-02-valentine-swing,14,past,0,0,scoringdance,2024-02-15,Valentine Swing 2024,scoringdance:114,2024-02-15,https://scoring.dance/enUS/events/114/results/1607.html|https://scoring.dance/enUS/events/114/results/1608.html|https://scoring.dance/enUS/events/114/results/1609.html,14
,29,2026-02-rose-city-swing,29,past,0,0,scoringdance,2026-02-26,Rose City Swing 2026,scoringdance:297,2026-02-26,https://scoring.dance/enUS/events/297/results/5296.html|https://scoring.dance/enUS/events/297/results/5297.html|https://scoring.dance/enUS/events/297/results/5293.html,29
,,2019-01-workshopweekend-heidelberg-jan2019,,past,0,0,scoringdance,2019-01-19,Workshopweekend Heidelberg Jan2019,scoringdance:8,2019-01-19,,
,16,2026-07-my-swing,16,past,0,0,scoringdance,2026-07-09,My Swing 2026,scoringdance:410,2026-07-09,https://scoring.dance/enUS/events/410/results/6235.html|https://scoring.dance/enUS/events/410/results/6236.html|https://scoring.dance/enUS/events/410/results/6267.html,16
,21,2023-09-midland-swing-open,21,past,0,0,scoringdance,2023-09-21,Midland Swing Open 2023,scoringdance:92,2023-09-21,https://scoring.dance/enUS/events/92/results/1199.html|https://scoring.dance/enUS/events/92/results/1200.html|https://scoring.dance/enUS/events/92/results/1201.html,21
,17,2025-03-5280-westival,17,past,0,0,scoringdance,2025-03-20,5280 Westival 2025,scoringdance:236,2025-03-20,https://scoring.dance/enUS/events/236/results/3309.html|https://scoring.dance/enUS/events/236/results/3310.html|https://scoring.dance/enUS/events/236/results/3311.html,17
,,,,unknown,0,0,scoringdance,,SwingVester 2022/23,scoringdance:72,,,
,26,2025-03-west-in-lyon,26,past,0,0,scoringdance,2025-03-13,West in Lyon 2025,scoringdance:211,2025-03-13,https://scoring.dance/enUS/events/211/results/3226.html|https://scoring.dance/enUS/events/211/results/3227.html|https://scoring.dance/enUS/events/211/results/3292.html,26
,23,2025-06-hembsy-chill-silc-competition,23,past,0,0,scoringdance,2025-06-06,Hembsy Chill SILC Competition 2025,scoringdance:255,2025-06-06,https://scoring.dance/enUS/events/255/results/3762.html|https://scoring.dance/enUS/events/255/results/3764.html|https://scoring.dance/enUS/events/255/results/3763.html,23
,13,2019-12-berlin-swing-revolution,13,past,0,0,scoringdance,2019-12-12,Berlin Swing Revolution 2019,scoringdance:27,2019-12-12,https://scoring.dance/enUS/events/27/results/268.html|https://scoring.dance/enUS/events/27/results/269.html|https://scoring.dance/enUS/events/27/results/270.html,13
,21,2024-10-warsaw-halloween-swing,21,past,0,0,scoringdance,2024-10-24,Warsaw Halloween Swing 2024,scoringdance:177,2024-10-24,https://scoring.dance/enUS/events/177/results/2578.html|https://scoring.dance/enUS/events/177/results/2579.html|https://scoring.dance/enUS/events/177/results/2580.html,21
,16,2023-11-winter-white,16,past,0,0,scoringdance,2023-11-30,Winter White 2023,scoringdance:105,2023-11-30,https://scoring.dance/enUS/events/105/results/1348.html|https://scoring.dance/enUS/events/105/results/1349.html|https://scoring.dance/enUS/events/105/results/1350.html,16
,18,2025-09-retaliation-swing,18,past,0,0,scoringdance,2025-09-18,Retaliation Swing 2025,scoringdance:285,2025-09-18,https://scoring.dance/enUS/events/285/results/4319.html|https://scoring.dance/enUS/events/285/results/4320.html|https://scoring.dance/enUS/events/285/results/4313.html,18
,14,2026-07-rock-the-barn,14,past,0,0,scoringdance,2026-07-16,Rock The Barn 2026,scoringdance:424,2026-07-16,https://scoring.dance/enUS/events/424/results/6271.html|https://scoring.dance/enUS/events/424/results/6272.html|https://scoring.dance/enUS/events/424/results/6273.html,14
,12,2025-08-bristol-swing-fiesta,12,past,0,0,scoringdance,2025-08-01,Bristol Swing Fiesta 2025,scoringdance:262,2025-08-01,https://scoring.dance/enUS/events/262/results/4130.html|https://scoring.dance/enUS/events/262/results/4131.html|https://scoring.dance/enUS/events/262/results/4132.html,12
