capture_gaps,event_findings,events,events_accepted,events_cancelled,events_day_precision,events_listed,events_month_precision,ready_for_owner_review,registry_occurrences,unassociated_occurrences,year
"[""56bd7112aa9cfe8f80c9976b"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",32,94,False,0,51,14,43,False,80,0,2010
"[""56bd7112aa9cfe8f80c9976b"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",19,87,False,0,30,2,57,False,85,0,2011
"[""a708800172465e26cdff723f"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",39,104,False,0,70,13,34,False,91,0,2012
"[""0e8afed4a25aa5c6fd5f2741"", ""c16974cf6a719bb6f6e3c9da"", ""a708800172465e26cdff723f"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",32,114,False,1,71,7,43,False,106,0,2013
"[""a708800172465e26cdff723f"", ""9db70e63e82c2b04b5429f65"", ""980fe458d3fe07a44a99b37b"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",25,125,False,0,57,8,68,False,117,0,2014
"[""9db70e63e82c2b04b5429f65"", ""980fe458d3fe07a44a99b37b"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",36,139,False,1,102,15,37,False,122,0,2015
"[""20080cca8335d832e9581711"", ""e993372b27c920b7bf25238f"", ""e34b2344655e659de5b60d89"", ""0e8afed4a25aa5c6fd5f2741"", ""c2b50fd841877f25729aeb0c"", ""c16974cf6a719bb6f6e3c9da"", ""9674911cc8f2d2803682db49"", ""168739e4497cfe804a117c5e"", ""0b9f1347030560c4c5502e28"", ""0226ef50385bfa517c9ef79c"", ""78a33801c49176cffe273d23"", ""b64c2d8f8445f615c078e0bb"", ""50d5b572f43b42b244112e92"", ""2722818d1b9f0149372dd827"", ""a85d2b013a50698e8e0a5c49"", ""33973c1ce87271a5a7076911"", ""41a01dbd519400746ec38193"", ""b961cd353369476360a0b7d9"", ""f0d02027903ab0803154542c"", ""bcf0cbe3c6fa734ee64625e0"", ""9db70e63e82c2b04b5429f65"", ""980fe458d3fe07a44a99b37b"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",35,151,False,1,120,16,31,False,135,0,2016
"[""20080cca8335d832e9581711"", ""e993372b27c920b7bf25238f"", ""e34b2344655e659de5b60d89"", ""0e8afed4a25aa5c6fd5f2741"", ""c2b50fd841877f25729aeb0c"", ""c16974cf6a719bb6f6e3c9da"", ""9674911cc8f2d2803682db49"", ""168739e4497cfe804a117c5e"", ""0b9f1347030560c4c5502e28"", ""0226ef50385bfa517c9ef79c"", ""78a33801c49176cffe273d23"", ""b64c2d8f8445f615c078e0bb"", ""50d5b572f43b42b244112e92"", ""2722818d1b9f0149372dd827"", ""a85d2b013a50698e8e0a5c49"", ""33973c1ce87271a5a7076911"", ""41a01dbd519400746ec38193"", ""b961cd353369476360a0b7d9"", ""f0d02027903ab0803154542c"", ""bcf0cbe3c6fa734ee64625e0"", ""980fe458d3fe07a44a99b37b"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",56,163,False,0,157,15,6,False,148,0,2017
"[""20080cca8335d832e9581711"", ""e993372b27c920b7bf25238f"", ""e34b2344655e659de5b60d89"", ""0e8afed4a25aa5c6fd5f2741"", ""c2b50fd841877f25729aeb0c"", ""c16974cf6a719bb6f6e3c9da"", ""9674911cc8f2d2803682db49"", ""168739e4497cfe804a117c5e"", ""0b9f1347030560c4c5502e28"", ""0226ef50385bfa517c9ef79c"", ""78a33801c49176cffe273d23"", ""b64c2d8f8445f615c078e0bb"", ""50d5b572f43b42b244112e92"", ""2722818d1b9f0149372dd827"", ""a85d2b013a50698e8e0a5c49"", ""33973c1ce87271a5a7076911"", ""41a01dbd519400746ec38193"", ""b961cd353369476360a0b7d9"", ""f0d02027903ab0803154542c"", ""bcf0cbe3c6fa734ee64625e0"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",40,161,False,0,159,14,2,False,146,0,2018
"[""20080cca8335d832e9581711"", ""e993372b27c920b7bf25238f"", ""e34b2344655e659de5b60d89"", ""0e8afed4a25aa5c6fd5f2741"", ""c2b50fd841877f25729aeb0c"", ""c16974cf6a719bb6f6e3c9da"", ""9674911cc8f2d2803682db49"", ""168739e4497cfe804a117c5e"", ""0b9f1347030560c4c5502e28"", ""0226ef50385bfa517c9ef79c"", ""78a33801c49176cffe273d23"", ""b64c2d8f8445f615c078e0bb"", ""50d5b572f43b42b244112e92"", ""2722818d1b9f0149372dd827"", ""a85d2b013a50698e8e0a5c49"", ""33973c1ce87271a5a7076911"", ""41a01dbd519400746ec38193"", ""b961cd353369476360a0b7d9"", ""f0d02027903ab0803154542c"", ""bcf0cbe3c6fa734ee64625e0"", ""4524f01e997c4e2f34e9ad8b"", ""ff3953a1ccb4da3e936fdabc"", ""1e7c58035500bacb34f94ee2"", ""45e7d60cf892aa442bc764ee"", ""a2bc46c2c8df036f4f4893ce"", ""35f6bfc5b865f014caed252f"", ""63fc2e9fab71011f49928da1"", ""45af6af9a8be9960552c707c"", ""ff51b642e9a4b4954b6e59f5"", ""f19398f1d6ae2da489cbca06"", ""6ce7ce1a4672bb04f9e6f54a"", ""1b3c6c6919989e1fb2654ece"", ""0c1a65f8427b8be5c9cf8c7c"", ""a1552033d5ab342fc7915696"", ""7b80fe7a9bb1bba64608cee6"", ""60d215c8c0b614f4183762c9"", ""31073eb64db45b0b3bc14037"", ""a62ed37377f66f873478b99f"", ""772e82ab89c8201dae8a26f6"", ""a9a1981e91474f1967356d61"", ""ea4e68c086533dd6581c3015"", ""24eaae0d5fea3221affb5a0a"", ""828e41e7f8f4bfd34d171092"", ""3c5a6116618208e4556dd9e7"", ""e7dcb140bcbd077c67c0d425"", ""f140e9fd5864d1c777006540"", ""763f8950892b9e719910fcd3"", ""f0dcc51ff963f79c44d90734"", ""fa9d6701e2418b435644b296"", ""9fad90785a2f773113d0c84d"", ""032270847f79d7aebca98f65"", ""edb1d1478b3fe19a626a30d7"", ""017e59a25155c25983b14000"", ""2b8b7d5b424f394e25c2b7bb"", ""9592958a3cd694d86e677fc5"", ""2dd8b6dc4d2d264495a33f0f""]",55,173,False,4,169,17,4,False,153,0,2019
